order,crop,country,community,year,indicator,bin,orig_value,tag,value
034,ABE,Zimbabwe,Zimbabwe,2022/23,childrens_education_chart,Percentage of children attending secondary school,0.8400,,0.8400 
035,ABE,Zimbabwe,Zimbabwe,2022/23,childrens_education_chart,Percentage of children attending university,0.5800,,0.5800 
036,ABE,Malawi,Malawi,2022/23,childrens_education_chart,Percentage of farmers with children in school (overall),0.9500,,0.9500 
037,ABE,Malawi,Malawi,2022/23,childrens_education_chart,Percentage of children attending primary school,0.7800,,0.7800 
038,ABE,Malawi,Malawi,2022/23,childrens_education_chart,Percentage of children attending secondary school,0.6000,,0.6000 
039,ABE,Malawi,Malawi,2022/23,childrens_education_chart,Percentage of children attending university,0.1000,,0.1000 
040,ABE,Zimbabwe,Zimbabwe,2022/23,energy_security_chart,Percentage of farmers with solar,0.6900,,0.6900 
041,ABE,Zimbabwe,Zimbabwe,2022/23,energy_security_chart,Percentage of farmers with electricity,0.1300,,0.1300 
042,ABE,Malawi,Malawi,2022/23,energy_security_chart,Percentage of farmers with solar,0.5800,,0.5800 
043,ABE,Malawi,Malawi,2022/23,energy_security_chart,Percentage of farmers with electricity,0.1000,,0.1000 
044,ABE,Zimbabwe,Zimbabwe,2022/23,Good,Proteins,0.0656,,0.0656 
045,ABE,Zimbabwe,Zimbabwe,2022/23,Moderate,Proteins,0.4590,,0.4590 
046,ABE,Zimbabwe,Zimbabwe,2022/23,Inadequate,Proteins,0.4754,,0.4754 
047,ABE,Zimbabwe,Zimbabwe,2022/23,Good,Carbohydrates,0.1475,,0.1475 
048,ABE,Zimbabwe,Zimbabwe,2022/23,Moderate,Carbohydrates,0.7049,,0.7049 
049,ABE,Zimbabwe,Zimbabwe,2022/23,Inadequate,Carbohydrates,0.1475,,0.1475 
050,ABE,Zimbabwe,Zimbabwe,2022/23,Good,Fats/Oils,0.0000,,0.0000 
051,ABE,Zimbabwe,Zimbabwe,2022/23,Moderate,Fats/Oils,0.0984,,0.0984 
052,ABE,Zimbabwe,Zimbabwe,2022/23,Inadequate,Fats/Oils,0.9016,,0.9016 
053,ABE,Zimbabwe,Zimbabwe,2022/23,Good,Vitamins/Minerals,0.0000,,0.0000 
054,ABE,Zimbabwe,Zimbabwe,2022/23,Moderate,Vitamins/Minerals,0.4590,,0.4590 
055,ABE,Zimbabwe,Zimbabwe,2022/23,Inadequate,Vitamins/Minerals,0.5410,,0.5410 
056,ABE,Malawi,Malawi,2022/23,Good,Proteins,0.1750,,0.1750 
057,ABE,Malawi,Malawi,2022/23,Moderate,Proteins,0.5250,,0.5250 
058,ABE,Malawi,Malawi,2022/23,Inadequate,Proteins,0.3000,,0.3000 
059,ABE,Malawi,Malawi,2022/23,Good,Carbohydrates,0.1750,,0.1750 
060,ABE,Malawi,Malawi,2022/23,Moderate,Carbohydrates,0.6000,,0.6000 
061,ABE,Malawi,Malawi,2022/23,Inadequate,Carbohydrates,0.2250,,0.2250 
062,ABE,Malawi,Malawi,2022/23,Good,Fats/Oils,0.0000,,0.0000 
063,ABE,Malawi,Malawi,2022/23,Moderate,Fats/Oils,0.0750,,0.0750 
064,ABE,Malawi,Malawi,2022/23,Inadequate,Fats/Oils,0.9250,,0.9250 
065,ABE,Malawi,Malawi,2022/23,Good,Vitamins/Minerals,0.0000,,0.0000 
066,ABE,Malawi,Malawi,2022/23,Moderate,Vitamins/Minerals,0.6000,,0.6000 
067,ABE,Malawi,Malawi,2022/23,Inadequate,Vitamins/Minerals,0.4000,,0.4000 
068,ABE,Malawi,Malawi,2022/23,Good,Farmers protein intake,0.4300,,0.4300 
069,ABE,Malawi,Malawi,2022/23,Moderate,Farmers protein intake,0.0000,,0.0000 
070,ABE,Malawi,Malawi,2022/23,Inadequate,Farmers protein intake,0.1300,,0.1300 
071,ABE,Malawi,Malawi,2022/23,Good,Farmers carbohydrate intake,0.3500,,0.3500 
072,ABE,Malawi,Malawi,2022/23,Moderate,Farmers carbohydrate intake,0.4000,,0.4000 
073,ABE,Malawi,Malawi,2022/23,Inadequate,Farmers carbohydrate intake,0.1800,,0.1800 
074,ABE,Malawi,Malawi,2022/23,Good,Farmers vitamin/mineral intake,0.2300,,0.2300 
075,ABE,Malawi,Malawi,2022/23,Moderate,Farmers vitamin/mineral intake,0.4500,,0.4500 
076,ABE,Malawi,Malawi,2022/23,Inadequate,Farmers vitamin/mineral intake,0.3000,,0.3000 
077,ABE,Zimbabwe,Zimbabwe,2022/23,animal_ownership_chart,Chicken,25.00,,0.5952
078,ABE,Zimbabwe,Zimbabwe,2022/23,animal_ownership_chart,Cow,7.00,,0.1667
079,ABE,Zimbabwe,Zimbabwe,2022/23,animal_ownership_chart,Donkey,1.00,,0.0238
080,ABE,Zimbabwe,Zimbabwe,2022/23,animal_ownership_chart,Duck,0.00,,0.0000
081,ABE,Zimbabwe,Zimbabwe,2022/23,animal_ownership_chart,Goat,6.00,,0.1429
082,ABE,Zimbabwe,Zimbabwe,2022/23,animal_ownership_chart,Sheep,1.00,,0.0238
083,ABE,Zimbabwe,Zimbabwe,2022/23,animal_ownership_chart,Guinea Fowl/Turkey,2.00,,0.0476
084,ABE,Malawi,Malawi,2022/23,animal_ownership_chart,Chicken,19.00,,0.3393
085,ABE,Malawi,Malawi,2022/23,animal_ownership_chart,Cow,2.00,,0.0357
087,ABE,Malawi,Malawi,2022/23,animal_ownership_chart,Duck,2.00,,0.0357
088,ABE,Malawi,Malawi,2022/23,animal_ownership_chart,Goat,4.00,,0.0714
089,ABE,Malawi,Malawi,2022/23,animal_ownership_chart,Pig,9.00,,0.1607
090,ABE,Malawi,Malawi,2022/23,animal_ownership_chart,Pigeon,20.00,,0.3571
091,ABE,Mozambique,Mozambique,2022/23,meters_walked_for_water_collection,0-100m,0.1100,,0.1100 
092,ABE,Mozambique,Mozambique,2022/23,meters_walked_for_water_collection,101-300m,0.1100,,0.1100 
093,ABE,Mozambique,Mozambique,2022/23,meters_walked_for_water_collection,301-600m,0.1100,,0.1100 
094,ABE,Mozambique,Mozambique,2022/23,meters_walked_for_water_collection,601-1000m,0.3300,,0.3300 
095,ABE,Mozambique,Mozambique,2022/23,meters_walked_for_water_collection,1001-2000m,0.1100,,0.1100 
096,ABE,Mozambique,Mozambique,2022/23,meters_walked_for_water_collection,>2000m,0.2200,,0.2200 
097,ABE,Zimbabwe,Zimbabwe,2022/23,meters_walked_for_wood_collection,0-100m,0.2600,,0.2600 
098,ABE,Zimbabwe,Zimbabwe,2022/23,meters_walked_for_wood_collection,101-300m,0.3200,,0.3200 
099,ABE,Zimbabwe,Zimbabwe,2022/23,meters_walked_for_wood_collection,301-600m,0.0900,,0.0900 
100,ABE,Zimbabwe,Zimbabwe,2022/23,meters_walked_for_wood_collection,601-1000m,0.1200,,0.1200 
101,ABE,Zimbabwe,Zimbabwe,2022/23,meters_walked_for_wood_collection,1001-2000m,0.1500,,0.1500 
102,ABE,Zimbabwe,Zimbabwe,2022/23,meters_walked_for_wood_collection,>2000m,0.0600,,0.0600 
103,ABE,Zaka,Zaka,2022/23,meters_walked_for_wood_collection,0-100m,0.1900,,0.1900 
104,ABE,Zaka,Zaka,2022/23,meters_walked_for_wood_collection,101-300m,0.2500,,0.2500 
105,ABE,Zaka,Zaka,2022/23,meters_walked_for_wood_collection,301-600m,0.1300,,0.1300 
106,ABE,Zaka,Zaka,2022/23,meters_walked_for_wood_collection,601-1000m,0.2500,,0.2500 
107,ABE,Zaka,Zaka,2022/23,meters_walked_for_wood_collection,1001-2000m,0.1300,,0.1300 
108,ABE,Zaka,Zaka,2022/23,meters_walked_for_wood_collection,>2000m,0.1300,,0.1300 
109,ABE,Ruware,Ruware,2022/23,meters_walked_for_wood_collection,0-100m,0.3800,,0.3800 
110,ABE,Ruware,Ruware,2022/23,meters_walked_for_wood_collection,101-300m,0.4400,,0.4400 
111,ABE,Ruware,Ruware,2022/23,meters_walked_for_wood_collection,301-600m,0.0600,,0.0600 
112,ABE,Ruware,Ruware,2022/23,meters_walked_for_wood_collection,601-1000m,0.0000,,0.0000 
113,ABE,Ruware,Ruware,2022/23,meters_walked_for_wood_collection,1001-2000m,0.1300,,0.1300 
114,ABE,Ruware,Ruware,2022/23,meters_walked_for_wood_collection,>2000m,0.0000,,0.0000 
115,ABE,Malawi,Malawi,2022/23,meters_walked_for_wood_collection,0-100m,0.0600,,0.0600 
116,ABE,Malawi,Malawi,2022/23,meters_walked_for_wood_collection,101-300m,0.2400,,0.2400 
117,ABE,Malawi,Malawi,2022/23,meters_walked_for_wood_collection,301-600m,0.1200,,0.1200 
118,ABE,Malawi,Malawi,2022/23,meters_walked_for_wood_collection,601-1000m,0.0600,,0.0600 
119,ABE,Malawi,Malawi,2022/23,meters_walked_for_wood_collection,1001-2000m,0.0600,,0.0600 
120,ABE,Malawi,Malawi,2022/23,meters_walked_for_wood_collection,>2000m,0.4700,,0.4700 
121,ABE,Chikwawa,Chikwawa,2022/23,meters_walked_for_wood_collection,0-100m,0.1700,,0.1700 
122,ABE,Chikwawa,Chikwawa,2022/23,meters_walked_for_wood_collection,101-300m,0.1700,,0.1700 
123,ABE,Chikwawa,Chikwawa,2022/23,meters_walked_for_wood_collection,301-600m,0.0000,,0.0000 
124,ABE,Chikwawa,Chikwawa,2022/23,meters_walked_for_wood_collection,601-1000m,0.1700,,0.1700 
125,ABE,Chikwawa,Chikwawa,2022/23,meters_walked_for_wood_collection,1001-2000m,0.1700,,0.1700 
126,ABE,Chikwawa,Chikwawa,2022/23,meters_walked_for_wood_collection,>2000m,0.3300,,0.3300 
127,ABE,Katowo,Katowo,2022/23,meters_walked_for_wood_collection,0-100m,0.0000,,0.0000 
128,ABE,Katowo,Katowo,2022/23,meters_walked_for_wood_collection,101-300m,0.2700,,0.2700 
129,ABE,Katowo,Katowo,2022/23,meters_walked_for_wood_collection,301-600m,0.1800,,0.1800 
130,ABE,Katowo,Katowo,2022/23,meters_walked_for_wood_collection,601-1000m,0.0000,,0.0000 
131,ABE,Katowo,Katowo,2022/23,meters_walked_for_wood_collection,1001-2000m,0.0000,,0.0000 
132,ABE,Katowo,Katowo,2022/23,meters_walked_for_wood_collection,>2000m,0.5500,,0.5500 
133,ABE,Zimbabwe,Zimbabwe,2022/23,tanner_key_metrics_table,Number of farmers,560,farmers,560 farmers
134,ABE,Zimbabwe,Zimbabwe,2022/23,tanner_key_metrics_table,Growing communities,,"Birchenough, Zaka & Ruware","Birchenough, Zaka & Ruware"
135,ABE,Zimbabwe,Zimbabwe,2022/23,tanner_key_metrics_table,Country allocation,280,tonnes [dry],280 tonnes [dry]
136,ABE,Zimbabwe,Zimbabwe,2022/23,tanner_key_metrics_table,ABE production,560,tonnes [fresh],560 tonnes [fresh]
137,ABE,Zimbabwe,Zimbabwe,2022/23,tanner_key_metrics_table,Total ABE land cultivated,96,ha,96ha
138,ABE,Zimbabwe,Zimbabwe,2022/23,tanner_key_metrics_table,Average ABE plot size,0.17,ha,0.17ha
139,ABE,Zimbabwe,Zimbabwe,2022/23,tanner_key_metrics_table,Average ABE harvest,1101,kg [fresh],"1,101 kg [fresh]"
140,ABE,Zimbabwe,Zimbabwe,2022/23,tanner_key_metrics_table,Average productivity (fresh ABE produced per .25ha),1610,kg [per 0.25 ha],"1,610 kg [per 0.25 ha]"
141,ABE,Zimbabwe,Zimbabwe,2022/23,tanner_key_metrics_table,Price per kg,,"$0.8 [fresh], $2.64 [dry]","$0.8 [fresh], $2.64 [dry]"
142,ABE,Zimbabwe,Zimbabwe,2022/23,tanner_key_metrics_table,Average farmer gross earnings,881.00,,$881.00 
143,ABE,Zimbabwe,Zimbabwe,2022/23,tanner_key_metrics_table,Average farmer net earnings,366.00,,$366.00 
144,ABE,Zimbabwe,Zimbabwe,2012/22,tanner_key_metrics_table,Number of farmers,530,farmers,530 farmers
145,ABE,Zimbabwe,Zimbabwe,2012/22,tanner_key_metrics_table,Growing communities,,"Birchenough, Zaka & Ruware","Birchenough, Zaka & Ruware"
146,ABE,Zimbabwe,Zimbabwe,2012/22,tanner_key_metrics_table,Country allocation,210,tonnes [dry],210 tonnes [dry]
147,ABE,Zimbabwe,Zimbabwe,2012/22,tanner_key_metrics_table,ABE production,675,tonnes [fresh],675 tonnes [fresh]
148,ABE,Zimbabwe,Zimbabwe,2012/22,tanner_key_metrics_table,Total ABE land cultivated,106,ha,106ha
149,ABE,Zimbabwe,Zimbabwe,2012/22,tanner_key_metrics_table,Average ABE plot size,0.2,ha,0.20ha
150,ABE,Zimbabwe,Zimbabwe,2012/22,tanner_key_metrics_table,Average ABE harvest,1274,kg [fresh],"1,274 kg [fresh]"
151,ABE,Zimbabwe,Zimbabwe,2012/22,tanner_key_metrics_table,Average productivity (fresh ABE produced per .25ha),1621,kg [per 0.25 ha],"1,621 kg [per 0.25 ha]"
152,ABE,Zimbabwe,Zimbabwe,2012/22,tanner_key_metrics_table,Price per kg,,"$0.8 [fresh], $2.64 [dry]","$0.8 [fresh], $2.64 [dry]"
153,ABE,Zimbabwe,Zimbabwe,2012/22,tanner_key_metrics_table,Average farmer gross earnings,1018.00,,"$1,018.00 "
154,ABE,Zimbabwe,Zimbabwe,2012/22,tanner_key_metrics_table,Average farmer net earnings,611.00,,$611.00 
155,ABE,Malawi,Malawi,2022/23,tanner_key_metrics_table,Number of farmers,281,farmers,281 farmers
156,ABE,Malawi,Malawi,2022/23,tanner_key_metrics_table,Growing communities,,"Chikwawa, Katowo","Chikwawa, Katowo"
157,ABE,Malawi,Malawi,2022/23,tanner_key_metrics_table,Country allocation,247,tonnes [fresh],247 tonnes [fresh]
158,ABE,Malawi,Malawi,2022/23,tanner_key_metrics_table,ABE production,121,tonnes [fresh],121 tonnes [fresh]
159,ABE,Malawi,Malawi,2022/23,tanner_key_metrics_table,Total ABE land cultivated,63,ha,63ha
160,ABE,Malawi,Malawi,2022/23,tanner_key_metrics_table,Average ABE plot size,0.22,ha,0.22ha
161,ABE,Malawi,Malawi,2022/23,tanner_key_metrics_table,Average ABE harvest,432,kg [fresh],432 kg [fresh]
162,ABE,Malawi,Malawi,2022/23,tanner_key_metrics_table,Average productivity (fresh ABE produced per .25ha),480,kg [per 0.25 ha],480 kg [per 0.25 ha]
163,ABE,Malawi,Malawi,2022/23,tanner_key_metrics_table,Price per kg,,$2.50 [dry],$2.50 [dry]
164,ABE,Malawi,Malawi,2022/23,tanner_key_metrics_table,Average farmer gross earnings,316.00,,$316.00 
165,ABE,Malawi,Malawi,2022/23,tanner_key_metrics_table,Average farmer net earnings,30.00,,$30.00 
166,ABE,Malawi,Malawi,2012/22,tanner_key_metrics_table,Number of farmers,173,farmers,173 farmers
167,ABE,Malawi,Malawi,2012/22,tanner_key_metrics_table,Growing communities,,"Chikwawa, Katowo","Chikwawa, Katowo"
168,ABE,Malawi,Malawi,2012/22,tanner_key_metrics_table,Country allocation,181,tonnes [fresh],181 tonnes [fresh]
169,ABE,Malawi,Malawi,2012/22,tanner_key_metrics_table,ABE production,183,tonnes [fresh],183 tonnes [fresh]
170,ABE,Malawi,Malawi,2012/22,tanner_key_metrics_table,Total ABE land cultivated,44,ha,44ha
171,ABE,Malawi,Malawi,2012/22,tanner_key_metrics_table,Average ABE plot size,0.26,ha,0.26ha
172,ABE,Malawi,Malawi,2012/22,tanner_key_metrics_table,Average ABE harvest,1058,kg [fresh],"1,058 kg [fresh]"
173,ABE,Malawi,Malawi,2012/22,tanner_key_metrics_table,Average productivity (fresh ABE produced per .25ha),1083,kg [per 0.25 ha],"1,083 kg [per 0.25 ha]"
174,ABE,Malawi,Malawi,2012/22,tanner_key_metrics_table,Price per kg,,$2.50 [dry],$2.50 [dry]
175,ABE,Malawi,Malawi,2012/22,tanner_key_metrics_table,Average farmer gross earnings,830.00,,$830.00 
176,ABE,Malawi,Malawi,2012/22,tanner_key_metrics_table,Average farmer net earnings,511.00,,$511.00 
177,ABE,Malawi,Malawi,Only farmers with positive incomes,tanner_key_metrics_table,Number of farmers,172,farmers,172 farmers
178,ABE,Malawi,Malawi,Only farmers with positive incomes,tanner_key_metrics_table,Growing communities,,"Chikwawa, Katowo","Chikwawa, Katowo"
179,ABE,Malawi,Malawi,Only farmers with positive incomes,tanner_key_metrics_table,Country allocation,,tonnes [fresh],0 tonnes [fresh]
180,ABE,Malawi,Malawi,Only farmers with positive incomes,tanner_key_metrics_table,ABE production,104,tonnes [fresh],104 tonnes [fresh]
181,ABE,Malawi,Malawi,Only farmers with positive incomes,tanner_key_metrics_table,Total ABE land cultivated,39,ha,39ha
182,ABE,Malawi,Malawi,Only farmers with positive incomes,tanner_key_metrics_table,Average ABE plot size,0.22,ha,0.22ha
183,ABE,Malawi,Malawi,Only farmers with positive incomes,tanner_key_metrics_table,Average ABE harvest,606,kg [fresh],606 kg [fresh]
184,ABE,Malawi,Malawi,Only farmers with positive incomes,tanner_key_metrics_table,Average productivity (fresh ABE produced per .25ha),676,kg [per 0.25 ha],676 kg [per 0.25 ha]
185,ABE,Malawi,Malawi,Only farmers with positive incomes,tanner_key_metrics_table,Price per kg,,$2.50 [dry],$2.50 [dry]
186,ABE,Malawi,Malawi,Only farmers with positive incomes,tanner_key_metrics_table,Average farmer gross earnings,441,,$441.00 
187,ABE,Malawi,Malawi,Only farmers with positive incomes,tanner_key_metrics_table,Average farmer net earnings,155,,$155.00 
188,ABE,Mozambique,Mozambique,2022/23,tanner_key_metrics_table,Number of farmers,35,farmers,35 farmers
189,ABE,Mozambique,Mozambique,2022/23,tanner_key_metrics_table,Growing communities,,"Marracuene, Boane, Namaacha, Matatuine, Moamba","Marracuene, Boane, Namaacha, Matatuine, Moamba"
190,ABE,Mozambique,Mozambique,2022/23,tanner_key_metrics_table,Country allocation,55,tonnes [dry],55 tonnes [dry]
191,ABE,Mozambique,Mozambique,2022/23,tanner_key_metrics_table,ABE production,105,tonnes [fresh],105 tonnes [fresh]
192,ABE,Mozambique,Mozambique,2022/23,tanner_key_metrics_table,Total ABE land cultivated,29.57,ha,30ha
193,ABE,Mozambique,Mozambique,2022/23,tanner_key_metrics_table,Average ABE plot size,0.38,ha,0.38ha
194,ABE,Mozambique,Mozambique,2022/23,tanner_key_metrics_table,Average ABE harvest,1368,kg [fresh],"1,368 kg [fresh]"
195,ABE,Mozambique,Mozambique,2022/23,tanner_key_metrics_table,Average productivity (fresh ABE produced per .25ha),890,kg [per 0.25 ha],890 kg [per 0.25 ha]
196,ABE,Mozambique,Mozambique,2022/23,tanner_key_metrics_table,Price per kg,,$1.00 [fresh],$1.00 [fresh]
197,ABE,Mozambique,Mozambique,2022/23,tanner_key_metrics_table,Average farmer gross earnings,1378,,"$1,378.00 "
198,ABE,Mozambique,Mozambique,2022/23,percentage_income_from_ABE_chart,ABE,0.3000,,0.3000 
199,ABE,Mozambique,Mozambique,2022/23,percentage_income_from_ABE_chart,Other,0.7000,,0.7000 
200,ABE,Mozambique,Mozambique,2022/23,ABE_money_spent_on,Animals,0.0700,,0.0700 
201,ABE,Mozambique,Mozambique,2022/23,ABE_money_spent_on,Education,0.2000,,0.2000 
202,ABE,Mozambique,Mozambique,2022/23,ABE_money_spent_on,Energy,0.1300,,0.1300 
203,ABE,Mozambique,Mozambique,2022/23,ABE_money_spent_on,Housing,0.3300,,0.3300 
204,ABE,Mozambique,Mozambique,2022/23,ABE_money_spent_on,Water,0.1300,,0.1300 
205,ABE,Mozambique,Mozambique,2022/23,ABE_money_spent_on,Other,0.1300,,0.1300 
