order,crop,country,community,year,indicator,bin,value,percentage
030,ABE,Zimbabwe,Birchenough,2022/23,Tech Support,Least important,3.00,0.1579
031,ABE,Zimbabwe,Zaka,2022/23,Tech Support,Most important,11.00,0.5500
032,ABE,Zimbabwe,Zaka,2022/23,Tech Support,Average importance,3.00,0.1500
033,ABE,Zimbabwe,Zaka,2022/23,Tech Support,Least important,6.00,0.3000
034,ABE,Zimbabwe,Ruware,2022/23,Tech Support,Most important,10.00,0.3448
035,ABE,Zimbabwe,Ruware,2022/23,Tech Support,Average importance,9.00,0.3103
036,ABE,Zimbabwe,Ruware,2022/23,Tech Support,Least important,10.00,0.3448
037,ABE,Malawi,Malawi,2022/23,Fixed Prices,Most important,10.00,0.2564
038,ABE,Malawi,Malawi,2022/23,Fixed Prices,Average importance,8.00,0.2051
039,ABE,Malawi,Malawi,2022/23,Fixed Prices,Least important,21.00,0.5385
040,ABE,Malawi,Chikwawa,2022/23,Fixed Prices,Most important,5.00,0.2381
041,ABE,Malawi,Chikwawa,2022/23,Fixed Prices,Average importance,5.00,0.2381
042,ABE,Malawi,Chikwawa,2022/23,Fixed Prices,Least important,11.00,0.5238
043,ABE,Malawi,Katowo,2022/23,Fixed Prices,Most important,5.00,0.2778
044,ABE,Malawi,Katowo,2022/23,Fixed Prices,Average importance,3.00,0.1667
045,ABE,Malawi,Katowo,2022/23,Fixed Prices,Least important,10.00,0.5556
046,ABE,Malawi,Malawi,2022/23,Inputs on Credit,Most important,10.00,0.2703
047,ABE,Malawi,Malawi,2022/23,Inputs on Credit,Average importance,13.00,0.3514
048,ABE,Malawi,Malawi,2022/23,Inputs on Credit,Least important,14.00,0.3784
049,ABE,Malawi,Chikwawa,2022/23,Inputs on Credit,Most important,5.00,0.2632
050,ABE,Malawi,Chikwawa,2022/23,Inputs on Credit,Average importance,7.00,0.3684
051,ABE,Malawi,Chikwawa,2022/23,Inputs on Credit,Least important,7.00,0.3684
052,ABE,Malawi,Katowo,2022/23,Inputs on Credit,Most important,5.00,0.2778
053,ABE,Malawi,Katowo,2022/23,Inputs on Credit,Average importance,6.00,0.3333
054,ABE,Malawi,Katowo,2022/23,Inputs on Credit,Least important,7.00,0.3889
055,ABE,Malawi,Malawi,2022/23,Tech Support,Most important,20.00,0.4545
056,ABE,Malawi,Malawi,2022/23,Tech Support,Average importance,19.00,0.4318
057,ABE,Malawi,Malawi,2022/23,Tech Support,Least important,5.00,0.1136
058,ABE,Malawi,Chikwawa,2022/23,Tech Support,Most important,11.00,0.4783
059,ABE,Malawi,Chikwawa,2022/23,Tech Support,Average importance,9.00,0.3913
060,ABE,Malawi,Chikwawa,2022/23,Tech Support,Least important,3.00,0.1304
061,ABE,Malawi,Katowo,2022/23,Tech Support,Most important,9.00,0.4286
062,ABE,Malawi,Katowo,2022/23,Tech Support,Average importance,10.00,0.4762
063,ABE,Malawi,Katowo,2022/23,Tech Support,Least important,2.00,0.0952
064,ABE,Mozambique,Mozambique,2022/23,Fixed Prices,Most important,0.00,#DIV/0!
065,ABE,Mozambique,Mozambique,2022/23,Fixed Prices,Average importance,0.00,#DIV/0!
066,ABE,Mozambique,Mozambique,2022/23,Fixed Prices,Least important,0.00,#DIV/0!
067,ABE,Mozambique,Small scale commercial farmers,2022/23,Fixed Prices,Most important,0.00,#DIV/0!
068,ABE,Mozambique,Small scale commercial farmers,2022/23,Fixed Prices,Average importance,0.00,#DIV/0!
069,ABE,Mozambique,Small scale commercial farmers,2022/23,Fixed Prices,Least important,0.00,#DIV/0!
070,ABE,Mozambique,Subsistence farmers,2022/23,Fixed Prices,Most important,0.00,#DIV/0!
071,ABE,Mozambique,Subsistence farmers,2022/23,Fixed Prices,Average importance,0.00,#DIV/0!
072,ABE,Mozambique,Subsistence farmers,2022/23,Fixed Prices,Least important,0.00,#DIV/0!
073,ABE,Mozambique,Organisation farmers,2022/23,Fixed Prices,Most important,0.00,#DIV/0!
074,ABE,Mozambique,Organisation farmers,2022/23,Fixed Prices,Average importance,0.00,#DIV/0!
075,ABE,Mozambique,Organisation farmers,2022/23,Fixed Prices,Least important,0.00,#DIV/0!
076,ABE,Mozambique,Mozambique,2022/23,Inputs on Credit,Most important,0.00,#DIV/0!
077,ABE,Mozambique,Mozambique,2022/23,Inputs on Credit,Average importance,0.00,#DIV/0!
078,ABE,Mozambique,Mozambique,2022/23,Inputs on Credit,Least important,0.00,#DIV/0!
079,ABE,Mozambique,Small scale commercial farmers,2022/23,Inputs on Credit,Most important,0.00,#DIV/0!
080,ABE,Mozambique,Small scale commercial farmers,2022/23,Inputs on Credit,Average importance,0.00,#DIV/0!
081,ABE,Mozambique,Small scale commercial farmers,2022/23,Inputs on Credit,Least important,0.00,#DIV/0!
082,ABE,Mozambique,Subsistence farmers,2022/23,Inputs on Credit,Most important,0.00,#DIV/0!
083,ABE,Mozambique,Subsistence farmers,2022/23,Inputs on Credit,Average importance,0.00,#DIV/0!
084,ABE,Mozambique,Subsistence farmers,2022/23,Inputs on Credit,Least important,0.00,#DIV/0!
085,ABE,Mozambique,Organisation farmers,2022/23,Inputs on Credit,Most important,0.00,#DIV/0!
086,ABE,Mozambique,Organisation farmers,2022/23,Inputs on Credit,Average importance,0.00,#DIV/0!
087,ABE,Mozambique,Organisation farmers,2022/23,Inputs on Credit,Least important,0.00,#DIV/0!
088,ABE,Mozambique,Mozambique,2022/23,Tech Support,Most important,0.00,#DIV/0!
089,ABE,Mozambique,Mozambique,2022/23,Tech Support,Average importance,0.00,#DIV/0!
090,ABE,Mozambique,Mozambique,2022/23,Tech Support,Least important,0.00,#DIV/0!
091,ABE,Mozambique,Small scale commercial farmers,2022/23,Tech Support,Most important,0.00,#DIV/0!
092,ABE,Mozambique,Small scale commercial farmers,2022/23,Tech Support,Average importance,0.00,#DIV/0!
093,ABE,Mozambique,Small scale commercial farmers,2022/23,Tech Support,Least important,0.00,#DIV/0!
094,ABE,Mozambique,Subsistence farmers,2022/23,Tech Support,Most important,0.00,#DIV/0!
095,ABE,Mozambique,Subsistence farmers,2022/23,Tech Support,Average importance,0.00,#DIV/0!
096,ABE,Mozambique,Subsistence farmers,2022/23,Tech Support,Least important,0.00,#DIV/0!
097,ABE,Mozambique,Organisation farmers,2022/23,Tech Support,Most important,0.00,#DIV/0!
098,ABE,Mozambique,Organisation farmers,2022/23,Tech Support,Average importance,0.00,#DIV/0!
099,ABE,Mozambique,Organisation farmers,2022/23,Tech Support,Least important,0.00,#DIV/0!
100,ABE,Zimbabwe,Zimbabwe,2022/23,training_received_changed_yield_ABE,Yes,56.00,0.9333
101,ABE,Zimbabwe,Zimbabwe,2022/23,training_received_changed_yield_ABE,No,4.00,0.0667
102,ABE,Zimbabwe,Birchenough,2022/23,training_received_changed_yield_ABE,Yes,18.00,1.0000
103,ABE,Zimbabwe,Birchenough,2022/23,training_received_changed_yield_ABE,No,0.00,0.0000
104,ABE,Zimbabwe,Zaka,2022/23,training_received_changed_yield_ABE,Yes,18.00,0.8571
105,ABE,Zimbabwe,Zaka,2022/23,training_received_changed_yield_ABE,No,3.00,0.1429
106,ABE,Zimbabwe,Ruware,2022/23,training_received_changed_yield_ABE,Yes,20.00,0.9524
107,ABE,Zimbabwe,Ruware,2022/23,training_received_changed_yield_ABE,No,1.00,0.0476
108,ABE,Malawi,Malawi,2022/23,training_received_changed_yield_ABE,Yes,37.00,0.9250
109,ABE,Malawi,Malawi,2022/23,training_received_changed_yield_ABE,No,3.00,0.0750
110,ABE,Malawi,Chikwawa,2022/23,training_received_changed_yield_ABE,Yes,19.00,0.9048
111,ABE,Malawi,Chikwawa,2022/23,training_received_changed_yield_ABE,No,2.00,0.0952
112,ABE,Malawi,Katowo,2022/23,training_received_changed_yield_ABE,Yes,18.00,0.9474
113,ABE,Malawi,Katowo,2022/23,training_received_changed_yield_ABE,No,1.00,0.0526
114,ABE,Zimbabwe,Zimbabwe,2022/23,training_received_changed_yield_other_crops,Yes,53.00,0.8983
115,ABE,Zimbabwe,Zimbabwe,2022/23,training_received_changed_yield_other_crops,No,6.00,0.1017
116,ABE,Zimbabwe,Birchenough,2022/23,training_received_changed_yield_other_crops,Yes,15.00,0.8824
117,ABE,Zimbabwe,Birchenough,2022/23,training_received_changed_yield_other_crops,No,2.00,0.1176
118,ABE,Zimbabwe,Zaka,2022/23,training_received_changed_yield_other_crops,Yes,18.00,0.8571
119,ABE,Zimbabwe,Zaka,2022/23,training_received_changed_yield_other_crops,No,3.00,0.1429
120,ABE,Zimbabwe,Ruware,2022/23,training_received_changed_yield_other_crops,Yes,20.00,0.9524
121,ABE,Zimbabwe,Ruware,2022/23,training_received_changed_yield_other_crops,No,1.00,0.0476
122,ABE,Malawi,Malawi,2022/23,training_received_changed_yield_other_crops,Yes,33.00,0.8250
123,ABE,Malawi,Malawi,2022/23,training_received_changed_yield_other_crops,No,7.00,0.1750
124,ABE,Malawi,Chikwawa,2022/23,training_received_changed_yield_other_crops,Yes,19.00,0.9048
125,ABE,Malawi,Chikwawa,2022/23,training_received_changed_yield_other_crops,No,2.00,0.0952
126,ABE,Malawi,Katowo,2022/23,training_received_changed_yield_other_crops,Yes,14.00,0.7368
127,ABE,Malawi,Katowo,2022/23,training_received_changed_yield_other_crops,No,5.00,0.2632
128,ABE,Zimbabwe,Zimbabwe,2022/23,other_crop_ever_earned_you_more_than_ABE,Yes,20.00,0.3333
129,ABE,Zimbabwe,Zimbabwe,2022/23,other_crop_ever_earned_you_more_than_ABE,No,40.00,0.6667
130,ABE,Zimbabwe,Birchenough,2022/23,other_crop_ever_earned_you_more_than_ABE,Yes,7.00,0.3889
131,ABE,Zimbabwe,Birchenough,2022/23,other_crop_ever_earned_you_more_than_ABE,No,11.00,0.6111
132,ABE,Zimbabwe,Zaka,2022/23,other_crop_ever_earned_you_more_than_ABE,Yes,7.00,0.3333
133,ABE,Zimbabwe,Zaka,2022/23,other_crop_ever_earned_you_more_than_ABE,No,14.00,0.6667
134,ABE,Zimbabwe,Ruware,2022/23,other_crop_ever_earned_you_more_than_ABE,Yes,6.00,0.2857
135,ABE,Zimbabwe,Ruware,2022/23,other_crop_ever_earned_you_more_than_ABE,No,15.00,0.7143
136,ABE,Malawi,Malawi,2022/23,other_crop_ever_earned_you_more_than_ABE,Yes,6.00,0.1500
137,ABE,Malawi,Malawi,2022/23,other_crop_ever_earned_you_more_than_ABE,No,34.00,0.8500
138,ABE,Malawi,Chikwawa,2022/23,other_crop_ever_earned_you_more_than_ABE,Yes,2.00,0.0952
139,ABE,Malawi,Chikwawa,2022/23,other_crop_ever_earned_you_more_than_ABE,No,19.00,0.9048
140,ABE,Malawi,Katowo,2022/23,other_crop_ever_earned_you_more_than_ABE,Yes,4.00,0.2105
141,ABE,Malawi,Katowo,2022/23,other_crop_ever_earned_you_more_than_ABE,No,15.00,0.7895
142,ABE,Mozambique,Mozambique,2022/23,other_crop_ever_earned_you_more_than_ABE,Yes,0.00,#DIV/0!
143,ABE,Mozambique,Mozambique,2022/23,other_crop_ever_earned_you_more_than_ABE,No,0.00,#DIV/0!
144,ABE,Mozambique,Small scale commercial farmers,2022/23,other_crop_ever_earned_you_more_than_ABE,Yes,0.00,#DIV/0!
145,ABE,Mozambique,Small scale commercial farmers,2022/23,other_crop_ever_earned_you_more_than_ABE,No,0.00,#DIV/0!
146,ABE,Mozambique,Subsistence farmers,2022/23,other_crop_ever_earned_you_more_than_ABE,Yes,0.00,#DIV/0!
147,ABE,Mozambique,Subsistence farmers,2022/23,other_crop_ever_earned_you_more_than_ABE,No,0.00,#DIV/0!
148,ABE,Mozambique,Organisation farmers,2022/23,other_crop_ever_earned_you_more_than_ABE,Yes,0.00,#DIV/0!
149,ABE,Mozambique,Organisation farmers,2022/23,other_crop_ever_earned_you_more_than_ABE,No,0.00,#DIV/0!
150,ABE,Zimbabwe,Zimbabwe,2022/23,farmer_age_groups,0-9 y/o,0.00,0.0000
151,ABE,Zimbabwe,Zimbabwe,2022/23,farmer_age_groups,10-19 y/o,1.00,0.0020
152,ABE,Zimbabwe,Zimbabwe,2022/23,farmer_age_groups,20-29 y/o,43.00,0.0845
153,ABE,Zimbabwe,Zimbabwe,2022/23,farmer_age_groups,30-39 y/o,105.00,0.2063
154,ABE,Zimbabwe,Zimbabwe,2022/23,farmer_age_groups,40-49 y/o,166.00,0.3261
155,ABE,Zimbabwe,Zimbabwe,2022/23,farmer_age_groups,50-59 y/o,105.00,0.2063
156,ABE,Zimbabwe,Zimbabwe,2022/23,farmer_age_groups,60-69 y/o,64.00,0.1257
157,ABE,Zimbabwe,Zimbabwe,2022/23,farmer_age_groups,70+ y/o,25.00,0.0491
161,ABE,Zimbabwe,Birchenough,2022/23,farmer_age_groups,0-9 y/o,0.00,0.0000
162,ABE,Zimbabwe,Birchenough,2022/23,farmer_age_groups,10-19 y/o,0.00,0.0000
163,ABE,Zimbabwe,Birchenough,2022/23,farmer_age_groups,20-29 y/o,11.00,0.0456
164,ABE,Zimbabwe,Birchenough,2022/23,farmer_age_groups,30-39 y/o,47.00,0.1950
165,ABE,Zimbabwe,Birchenough,2022/23,farmer_age_groups,40-49 y/o,81.00,0.3361
166,ABE,Zimbabwe,Birchenough,2022/23,farmer_age_groups,50-59 y/o,51.00,0.2116
167,ABE,Zimbabwe,Birchenough,2022/23,farmer_age_groups,60-69 y/o,38.00,0.1577
168,ABE,Zimbabwe,Birchenough,2022/23,farmer_age_groups,70+ y/o,13.00,0.0539
172,ABE,Zimbabwe,Zaka,2022/23,farmer_age_groups,0-9 y/o,0.00,0.0000
173,ABE,Zimbabwe,Zaka,2022/23,farmer_age_groups,10-19 y/o,0.00,0.0000
174,ABE,Zimbabwe,Zaka,2022/23,farmer_age_groups,20-29 y/o,11.00,0.0724
175,ABE,Zimbabwe,Zaka,2022/23,farmer_age_groups,30-39 y/o,30.00,0.1974
176,ABE,Zimbabwe,Zaka,2022/23,farmer_age_groups,40-49 y/o,45.00,0.2961
177,ABE,Zimbabwe,Zaka,2022/23,farmer_age_groups,50-59 y/o,34.00,0.2237
178,ABE,Zimbabwe,Zaka,2022/23,farmer_age_groups,60-69 y/o,22.00,0.1447
179,ABE,Zimbabwe,Zaka,2022/23,farmer_age_groups,70+ y/o,10.00,0.0658
183,ABE,Zimbabwe,Ruware,2022/23,farmer_age_groups,0-9 y/o,0.00,0.0000
184,ABE,Zimbabwe,Ruware,2022/23,farmer_age_groups,10-19 y/o,1.00,0.0086
185,ABE,Zimbabwe,Ruware,2022/23,farmer_age_groups,20-29 y/o,21.00,0.1810
186,ABE,Zimbabwe,Ruware,2022/23,farmer_age_groups,30-39 y/o,28.00,0.2414
187,ABE,Zimbabwe,Ruware,2022/23,farmer_age_groups,40-49 y/o,40.00,0.3448
188,ABE,Zimbabwe,Ruware,2022/23,farmer_age_groups,50-59 y/o,20.00,0.1724
189,ABE,Zimbabwe,Ruware,2022/23,farmer_age_groups,60-69 y/o,4.00,0.0345
190,ABE,Zimbabwe,Ruware,2022/23,farmer_age_groups,70+ y/o,2.00,0.0172
194,ABE,Malawi,Malawi,2022/23,farmer_age_groups,0-9 y/o,0.00,0.0000
195,ABE,Malawi,Malawi,2022/23,farmer_age_groups,10-19 y/o,0.00,0.0000
196,ABE,Malawi,Malawi,2022/23,farmer_age_groups,20-29 y/o,37.00,0.1317
197,ABE,Malawi,Malawi,2022/23,farmer_age_groups,30-39 y/o,51.00,0.1815
198,ABE,Malawi,Malawi,2022/23,farmer_age_groups,40-49 y/o,78.00,0.2776
199,ABE,Malawi,Malawi,2022/23,farmer_age_groups,50-59 y/o,68.00,0.2420
200,ABE,Malawi,Malawi,2022/23,farmer_age_groups,60-69 y/o,37.00,0.1317
201,ABE,Malawi,Malawi,2022/23,farmer_age_groups,70+ y/o,10.00,0.0356
205,ABE,Malawi,Chikwawa,2022/23,farmer_age_groups,0-9 y/o,0.00,0.0000
206,ABE,Malawi,Chikwawa,2022/23,farmer_age_groups,10-19 y/o,0.00,0.0000
207,ABE,Malawi,Chikwawa,2022/23,farmer_age_groups,20-29 y/o,28.00,0.1414
208,ABE,Malawi,Chikwawa,2022/23,farmer_age_groups,30-39 y/o,39.00,0.1970
209,ABE,Malawi,Chikwawa,2022/23,farmer_age_groups,40-49 y/o,55.00,0.2778
210,ABE,Malawi,Chikwawa,2022/23,farmer_age_groups,50-59 y/o,40.00,0.2020
211,ABE,Malawi,Chikwawa,2022/23,farmer_age_groups,60-69 y/o,28.00,0.1414
212,ABE,Malawi,Chikwawa,2022/23,farmer_age_groups,70+ y/o,8.00,0.0404
216,ABE,Malawi,Katowo,2022/23,farmer_age_groups,0-9 y/o,0.00,0.0000
217,ABE,Malawi,Katowo,2022/23,farmer_age_groups,10-19 y/o,0.00,0.0000
218,ABE,Malawi,Katowo,2022/23,farmer_age_groups,20-29 y/o,9.00,0.1084
219,ABE,Malawi,Katowo,2022/23,farmer_age_groups,30-39 y/o,12.00,0.1446
220,ABE,Malawi,Katowo,2022/23,farmer_age_groups,40-49 y/o,23.00,0.2771
221,ABE,Malawi,Katowo,2022/23,farmer_age_groups,50-59 y/o,28.00,0.3373
222,ABE,Malawi,Katowo,2022/23,farmer_age_groups,60-69 y/o,9.00,0.1084
223,ABE,Malawi,Katowo,2022/23,farmer_age_groups,70+ y/o,2.00,0.0241
227,ABE,Zimbabwe,Zimbabwe,2022/23,farmer_household_size,1-3 persons,7.00,0.1167
228,ABE,Zimbabwe,Zimbabwe,2022/23,farmer_household_size,4-6 persons,31.00,0.5167
229,ABE,Zimbabwe,Zimbabwe,2022/23,farmer_household_size,7-9 persons,20.00,0.3333
230,ABE,Zimbabwe,Zimbabwe,2022/23,farmer_household_size,10+ persons,2.00,0.0333
231,ABE,Zimbabwe,Birchenough,2022/23,farmer_household_size,1-3 persons,4.00,0.2222
232,ABE,Zimbabwe,Birchenough,2022/23,farmer_household_size,4-6 persons,7.00,0.3889
233,ABE,Zimbabwe,Birchenough,2022/23,farmer_household_size,7-9 persons,5.00,0.2778
234,ABE,Zimbabwe,Birchenough,2022/23,farmer_household_size,10+ persons,2.00,0.1111
235,ABE,Zimbabwe,Zaka,2022/23,farmer_household_size,1-3 persons,2.00,0.0952
236,ABE,Zimbabwe,Zaka,2022/23,farmer_household_size,4-6 persons,13.00,0.6190
237,ABE,Zimbabwe,Zaka,2022/23,farmer_household_size,7-9 persons,6.00,0.2857
238,ABE,Zimbabwe,Zaka,2022/23,farmer_household_size,10+ persons,0.00,0.0000
239,ABE,Zimbabwe,Ruware,2022/23,farmer_household_size,1-3 persons,1.00,0.0476
240,ABE,Zimbabwe,Ruware,2022/23,farmer_household_size,4-6 persons,11.00,0.5238
241,ABE,Zimbabwe,Ruware,2022/23,farmer_household_size,7-9 persons,9.00,0.4286
242,ABE,Zimbabwe,Ruware,2022/23,farmer_household_size,10+ persons,0.00,0.0000
243,ABE,Malawi,Malawi,2022/23,farmer_household_size,1-3 persons,3.00,0.0750
244,ABE,Malawi,Malawi,2022/23,farmer_household_size,4-6 persons,24.00,0.6000
245,ABE,Malawi,Malawi,2022/23,farmer_household_size,7-9 persons,11.00,0.2750
246,ABE,Malawi,Malawi,2022/23,farmer_household_size,10+ persons,2.00,0.0500
247,ABE,Malawi,Chikwawa,2022/23,farmer_household_size,1-3 persons,1.00,0.0476
248,ABE,Malawi,Chikwawa,2022/23,farmer_household_size,4-6 persons,10.00,0.4762
249,ABE,Malawi,Chikwawa,2022/23,farmer_household_size,7-9 persons,10.00,0.4762
250,ABE,Malawi,Chikwawa,2022/23,farmer_household_size,10+ persons,0.00,0.0000
251,ABE,Malawi,Katowo,2022/23,farmer_household_size,1-3 persons,2.00,0.1053
252,ABE,Malawi,Katowo,2022/23,farmer_household_size,4-6 persons,14.00,0.7368
253,ABE,Malawi,Katowo,2022/23,farmer_household_size,7-9 persons,1.00,0.0526
254,ABE,Malawi,Katowo,2022/23,farmer_household_size,10+ persons,2.00,0.1053
255,ABE,Mozambique,Mozambique,2022/23,farmer_household_size,1-3 persons,0.00,#DIV/0!
256,ABE,Mozambique,Mozambique,2022/23,farmer_household_size,4-6 persons,0.00,#DIV/0!
257,ABE,Mozambique,Mozambique,2022/23,farmer_household_size,7-9 persons,0.00,#DIV/0!
258,ABE,Mozambique,Mozambique,2022/23,farmer_household_size,10+ persons,0.00,#DIV/0!
259,ABE,Mozambique,Small scale commercial farmers,2022/23,farmer_household_size,1-3 persons,0.00,#DIV/0!
260,ABE,Mozambique,Small scale commercial farmers,2022/23,farmer_household_size,4-6 persons,0.00,#DIV/0!
261,ABE,Mozambique,Small scale commercial farmers,2022/23,farmer_household_size,7-9 persons,0.00,#DIV/0!
262,ABE,Mozambique,Small scale commercial farmers,2022/23,farmer_household_size,10+ persons,0.00,#DIV/0!
263,ABE,Mozambique,Subsistence farmers,2022/23,farmer_household_size,1-3 persons,0.00,#DIV/0!
264,ABE,Mozambique,Subsistence farmers,2022/23,farmer_household_size,4-6 persons,0.00,#DIV/0!
265,ABE,Mozambique,Subsistence farmers,2022/23,farmer_household_size,7-9 persons,0.00,#DIV/0!
266,ABE,Mozambique,Subsistence farmers,2022/23,farmer_household_size,10+ persons,0.00,#DIV/0!
267,ABE,Mozambique,Organisation farmers,2022/23,farmer_household_size,1-3 persons,0.00,#DIV/0!
268,ABE,Mozambique,Organisation farmers,2022/23,farmer_household_size,4-6 persons,0.00,#DIV/0!
269,ABE,Mozambique,Organisation farmers,2022/23,farmer_household_size,7-9 persons,0.00,#DIV/0!
270,ABE,Mozambique,Organisation farmers,2022/23,farmer_household_size,10+ persons,0.00,#DIV/0!
271,ABE,Zimbabwe,Zimbabwe,2022/23,farmer_no_of_children,No children,1.00,0.0167
272,ABE,Zimbabwe,Zimbabwe,2022/23,farmer_no_of_children,1-3 children,21.00,0.3500
273,ABE,Zimbabwe,Zimbabwe,2022/23,farmer_no_of_children,4-6 children,36.00,0.6000
274,ABE,Zimbabwe,Zimbabwe,2022/23,farmer_no_of_children,7-9 children,2.00,0.0333
276,ABE,Zimbabwe,Birchenough,2022/23,farmer_no_of_children,No children,0.00,0.0000
277,ABE,Zimbabwe,Birchenough,2022/23,farmer_no_of_children,1-3 children,8.00,0.4444
278,ABE,Zimbabwe,Birchenough,2022/23,farmer_no_of_children,4-6 children,9.00,0.5000
279,ABE,Zimbabwe,Birchenough,2022/23,farmer_no_of_children,7-9 children,1.00,0.0556
281,ABE,Zimbabwe,Zaka,2022/23,farmer_no_of_children,No children,1.00,0.0476
282,ABE,Zimbabwe,Zaka,2022/23,farmer_no_of_children,1-3 children,7.00,0.3333
283,ABE,Zimbabwe,Zaka,2022/23,farmer_no_of_children,4-6 children,12.00,0.5714
284,ABE,Zimbabwe,Zaka,2022/23,farmer_no_of_children,7-9 children,1.00,0.0476
286,ABE,Zimbabwe,Ruware,2022/23,farmer_no_of_children,No children,0.00,0.0000
287,ABE,Zimbabwe,Ruware,2022/23,farmer_no_of_children,1-3 children,6.00,0.2857
288,ABE,Zimbabwe,Ruware,2022/23,farmer_no_of_children,4-6 children,15.00,0.7143
289,ABE,Zimbabwe,Ruware,2022/23,farmer_no_of_children,7-9 children,0.00,0.0000
291,ABE,Malawi,Malawi,2022/23,farmer_no_of_children,No children,3.00,0.0769
292,ABE,Malawi,Malawi,2022/23,farmer_no_of_children,1-3 children,19.00,0.4872
293,ABE,Malawi,Malawi,2022/23,farmer_no_of_children,4-6 children,15.00,0.3846
294,ABE,Malawi,Malawi,2022/23,farmer_no_of_children,7-9 children,2.00,0.0513
296,ABE,Malawi,Chikwawa,2022/23,farmer_no_of_children,No children,1.00,0.0476
297,ABE,Malawi,Chikwawa,2022/23,farmer_no_of_children,1-3 children,8.00,0.3810
298,ABE,Malawi,Chikwawa,2022/23,farmer_no_of_children,4-6 children,10.00,0.4762
299,ABE,Malawi,Chikwawa,2022/23,farmer_no_of_children,7-9 children,2.00,0.0952
301,ABE,Malawi,Katowo,2022/23,farmer_no_of_children,No children,2.00,0.1111
302,ABE,Malawi,Katowo,2022/23,farmer_no_of_children,1-3 children,11.00,0.6111
303,ABE,Malawi,Katowo,2022/23,farmer_no_of_children,4-6 children,5.00,0.2778
304,ABE,Malawi,Katowo,2022/23,farmer_no_of_children,7-9 children,0.00,0.0000
306,ABE,Mozambique,Mozambique,2022/23,farmer_no_of_children,No children,0.00,#DIV/0!
307,ABE,Mozambique,Mozambique,2022/23,farmer_no_of_children,1-3 children,0.00,#DIV/0!
308,ABE,Mozambique,Mozambique,2022/23,farmer_no_of_children,4-6 children,0.00,#DIV/0!
309,ABE,Mozambique,Mozambique,2022/23,farmer_no_of_children,7-9 children,0.00,#DIV/0!
311,ABE,Mozambique,Small scale commercial farmers,2022/23,farmer_no_of_children,No children,0.00,#DIV/0!
312,ABE,Mozambique,Small scale commercial farmers,2022/23,farmer_no_of_children,1-3 children,0.00,#DIV/0!
313,ABE,Mozambique,Small scale commercial farmers,2022/23,farmer_no_of_children,4-6 children,0.00,#DIV/0!
