unique farmer ID,crop,country,community,year,indicator,bin,value
BO11rnr,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$0-499,488.16
BP88wmo,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$0-499,440.00
BQ09kmz,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$500-999,699.80
BR00lnb,ABE,Malawi,Katowo,2022/23,gross_income_scatter_plot,$0-499,329.00
BR39eda,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,165.58
BS60fbd,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$0-499,272.08
BT24ukf,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$0-499,376.72
BU00bsr,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$0-499,414.32
BV74niq,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,883.76
BV93emz,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,190.87
BY44xxb,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$0-499,83.68
BY83hho,ABE,Malawi,Katowo,2022/23,gross_income_scatter_plot,$0-499,466.63
BZ00cqx,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$500-999,812.48
CA30xro,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$0-499,272.80
CA97jmy,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$0-499,64.08
CD04fnu,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$500-999,819.12
CE02bvp,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$500-999,582.16
CG14vgb,ABE,Malawi,Katowo,2022/23,gross_income_scatter_plot,$0-499,105.09
CG53njt,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$500-999,642.00
CI01ovb,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,143.85
CI43loe,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$0-499,441.12
CK55xsx,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,253.01
CK60bzu,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,687.28
CK81rzk,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$500-999,631.04
CK87fzs,ABE,Malawi,Katowo,2022/23,gross_income_scatter_plot,$0-499,195.44
CL06jkx,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$1000-1499,1329.12
CL12kvp,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$1000-1499,1014.40
CM12zxw,ABE,Malawi,Katowo,2022/23,gross_income_scatter_plot,$0-499,422.28
CM75yri,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,220.48
CN12ymv,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,115.00
CN45fbs,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,194.68
CN61cnh,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$1000-1499,1444.80
CR27ufv,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$0-499,464.48
CR29bil,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,310.58
CR32zay,ABE,Malawi,Katowo,2022/23,gross_income_scatter_plot,$0-499,385.28
CS63gei,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$500-999,859.92
CT25ozu,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$500-999,814.24
CU28ski,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,64.43
CU74cne,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$500-999,698.49
CV95dbx,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,301.88
CW22bdd,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$500-999,549.76
CW88btx,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$0-499,349.68
CX71fse,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$500-999,961.60
CX75fbe,ABE,Malawi,Katowo,2022/23,gross_income_scatter_plot,$1000-1499,1095.65
CZ88ydr,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$0-499,446.64
DB75zoo,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,294.69
DE71wtu,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$0-499,92.00
DG36ylu,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,706.64
DG57gnc,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$500-999,521.36
DH26erh,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,197.48
DH38oxp,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$0-499,495.52
DH40duu,ABE,Malawi,Katowo,2022/23,gross_income_scatter_plot,$0-499,261.27
DH62uut,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$500-999,561.52
DH70kyb,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$500-999,674.00
DJ02xvj,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$0-499,267.84
DJ27uvk,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$0-499,385.84
DJ51pkw,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$500-999,818.72
DL37ntm,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$500-999,768.96
DL85pxb,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,148.81
DM58vjx,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$0-499,436.96
DM84sgg,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$0-499,381.92
DO50lng,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,504.56
DO81yrs,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$1000-1499,1293.52
DQ33baa,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$2000-2499,2303.36
DR11nck,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$500-999,729.84
DU32gkz,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,277.51
DU73ysm,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$2000-2499,2094.16
DV08npt,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$500-999,764.24
DV45mix,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$500-999,540.48
DX41elm,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,640.80
DZ32hik,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,813.84
DZ99lqx,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$0-499,297.68
EA39eoh,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$1000-1499,1128.00
EA64dwg,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$500-999,908.80
EC67nnp,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$2500+,4234.00
EE01xpi,ABE,Malawi,Katowo,2022/23,gross_income_scatter_plot,$500-999,705.95
EE57pbz,ABE,Malawi,Katowo,2022/23,gross_income_scatter_plot,$0-499,274.36
EE91soh,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$2500+,3427.84
EF26pqv,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$500-999,746.40
EF57cbn,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,392.45
EF70btx,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,337.14
EH10zxv,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$0-499,172.96
EH72qgf,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$1000-1499,1180.96
EK04cap,ABE,Malawi,Katowo,2022/23,gross_income_scatter_plot,$0-499,312.72
EK13owt,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$0-499,472.32
EK25uxl,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,198.88
EM77tyh,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$1500-1999,1851.12
EN90dao,ABE,Malawi,Katowo,2022/23,gross_income_scatter_plot,$500-999,657.76
EP04rxq,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$500-999,661.28
ES10dcw,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,141.19
ES88vru,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$0-499,146.96
EU17zog,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$1000-1499,1224.48
EU84pgg,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$0-499,220.16
EV47hzv,ABE,Malawi,Katowo,2022/23,gross_income_scatter_plot,$500-999,587.61
EX36mso,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,868.24
EZ31iqk,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$1500-1999,1673.20
EZ34ast,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$0-499,423.52
EZ84qvl,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,884.56
FA02hzx,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$500-999,701.44
FB38qou,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$0-499,329.36
FC31tgb,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$500-999,634.37
FC94ola,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$1000-1499,1297.04
FD83oeq,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$0-499,307.36
FF15ghk,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$500-999,544.16
FF75gdq,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,155.52
FG03zzw,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$0-499,83.68
FJ16wyr,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$0-499,284.56
FK16wmu,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,595.12
FL63ddd,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,410.46
FM18lee,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$500-999,879.28
FO45qfk,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$1000-1499,1179.76
FO81ige,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$0-499,446.80
FP25ihj,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$1000-1499,1082.32
FP33dqc,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$2000-2499,2123.04
FR99pxr,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$0-499,407.54
FS39bfx,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,916.00
FU03pch,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$500-999,583.28
FU14qxi,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,698.64
FU62mrr,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,93.53
FW94bni,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$500-999,677.04
FX75hqx,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$0-499,454.88
FY01hzo,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,976.08
FY14muu,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$500-999,775.04
FY57tyl,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,626.72
FY99uei,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$500-999,612.72
FZ08cvy,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$1000-1499,1176.16
FZ58snv,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$0-499,230.32
GC07ink,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$2000-2499,2187.92
GC39sgd,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,785.68
GE83anp,ABE,Malawi,Katowo,2022/23,gross_income_scatter_plot,$500-999,633.35
GF12itp,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$0-499,166.24
GF50rgf,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$0-499,451.60
GG09xlr,ABE,Malawi,Katowo,2022/23,gross_income_scatter_plot,$0-499,133.43
GG17mij,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$2000-2499,2303.52
GG29ovf,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$500-999,535.88
GG45rps,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$500-999,567.09
GG72exy,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,439.81
GI85wou,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,378.43
GJ15soc,ABE,Malawi,Katowo,2022/23,gross_income_scatter_plot,$0-499,174.48
GJ72uvv,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$1000-1499,1026.32
GL06zvu,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$500-999,822.72
GL67pfh,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$2500+,4253.60
GM43ltb,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$0-499,424.00
GM86qxi,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,57.95
GM96biw,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$500-999,848.48
GN25qiz,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$1000-1499,1406.96
GO23zfw,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,142.83
GP19mpc,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,794.08
GP53qrm,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$0-499,238.00
GQ34idw,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,69.26
GS70alp,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$1500-1999,1550.64
GS82nvk,ABE,Malawi,Katowo,2022/23,gross_income_scatter_plot,$0-499,368.14
GT41vzz,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$0-499,0.00
GU17sji,ABE,Malawi,Katowo,2022/23,gross_income_scatter_plot,$0-499,375.00
GU19uiw,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,524.56
GV61ltl,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,84.63
GW37cgo,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$0-499,287.60
GW97psl,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,893.36
GY73enh,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$0-499,0.00
GY86bfe,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,334.09
GY93bot,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$1000-1499,1292.16
HA76dau,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$500-999,779.28
HB21nxw,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$0-499,188.32
HC15hlt,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$500-999,546.64
HC17toh,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,28.85
HG16fjv,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,295.07
HI30xlz,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,313.63
HI32adf,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,875.44
HI87usb,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$1000-1499,1241.20
HK07gfa,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$500-999,922.45
HK18pdn,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$500-999,610.46
HK51gsf,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,712.16
HL67qla,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$500-999,768.72
HN66rxu,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,245.77
HO10fqr,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$0-499,64.96
HO66xyq,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$0-499,342.00
HP46dsn,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,810.56
HQ55llk,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,750.40
HR17ebs,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,653.84
HR40aor,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$1000-1499,1305.36
HS55ntj,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$1000-1499,1109.04
HS64lcl,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$500-999,560.08
HS88ygn,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,853.52
HT69hpo,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$500-999,518.56
HU07exx,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,96.45
HU09rxd,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$0-499,191.76
HU48jgx,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$1500-1999,1935.28
HU54nss,ABE,Malawi,Katowo,2022/23,gross_income_scatter_plot,$0-499,363.06
HV46mwo,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$1000-1499,1246.32
HW95zsu,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$1500-1999,1852.40
HX46chn,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$500-999,573.65
HX70lhk,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$0-499,79.52
HY51lpt,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$0-499,477.84
HZ01kkg,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,77.14
IA16fhf,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,640.80
IA16uxk,ABE,Malawi,Katowo,2022/23,gross_income_scatter_plot,$500-999,757.46
IB81hml,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$500-999,707.36
IC34cli,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,181.21
IC51dki,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$0-499,449.04
ID19jfy,ABE,Malawi,Katowo,2022/23,gross_income_scatter_plot,$0-499,335.23
ID62nzx,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,938.32
IE13hnr,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$1000-1499,1083.04
IE20fwp,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$0-499,72.32
IF10jed,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$500-999,861.76
IJ57uzi,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,585.20
IJ73mqw,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,516.40
IL70tlu,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$1000-1499,1408.88
IQ94mgp,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$500-999,570.00
IR79jfu,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$0-499,403.20
IS05yin,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,112.97
IS18mwn,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$0-499,425.52
IT37oeg,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$1500-1999,1730.32
IT64yhw,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$0-499,328.32
IT91jki,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$1000-1499,1262.40
IU28smr,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$500-999,811.28
IV06urz,ABE,Malawi,Katowo,2022/23,gross_income_scatter_plot,$0-499,437.57
IW13hxr,ABE,Zimbabwe,Ruware,2022/23,gross_income_scatter_plot,$1000-1499,1106.56
IW24iqy,ABE,Malawi,Katowo,2022/23,gross_income_scatter_plot,$500-999,524.19
IW83azf,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$500-999,668.96
IW99zwn,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$1000-1499,1144.80
IX71jje,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$1000-1499,1272.00
IY09ayz,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$500-999,890.16
JA15tck,ABE,Malawi,Katowo,2022/23,gross_income_scatter_plot,$0-499,211.74
JA50cja,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,727.12
JD58ywk,ABE,Zimbabwe,Zaka,2022/23,gross_income_scatter_plot,$500-999,719.12
JE07oif,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,283.13
JE20ymj,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,207.26
JE99bwo,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$500-999,539.52
JF18iyu,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,445.53
JG14jfb,ABE,Malawi,Katowo,2022/23,gross_income_scatter_plot,$0-499,163.62
JG60xje,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$500-999,688.38
JH59ymw,ABE,Malawi,Katowo,2022/23,gross_income_scatter_plot,$0-499,216.92
JH93tim,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$1000-1499,1190.72
JH95tni,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$1500-1999,1532.88
JI01jnj,ABE,Malawi,Katowo,2022/23,gross_income_scatter_plot,$0-499,138.13
JJ91rxv,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,272.83
JL67xgk,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$500-999,936.10
JM43dwi,ABE,Malawi,Chikwawa,2022/23,gross_income_scatter_plot,$0-499,113.10
JM87txf,ABE,Zimbabwe,Birchenough,2022/23,gross_income_scatter_plot,$0-499,0.00
