order,crop,country,community,indicator,bin,value
35,ABE,Zimbabwe,Ruware,Education,2021/22,7.5
36,ABE,Zimbabwe,Ruware,Education,2022/23,7.8
37,ABE,Zimbabwe,Gokwe,Education,Baseline,0.0
38,ABE,Zimbabwe,Gokwe,Education,2015/16,0.0
39,ABE,Zimbabwe,Gokwe,Education,2016/17,0.0
40,ABE,Zimbabwe,Gokwe,Education,2017/18,0.0
41,ABE,Zimbabwe,Gokwe,Education,2018/19,6.8
42,ABE,Zimbabwe,Gokwe,Education,2019/20,0.0
43,ABE,Zimbabwe,Gokwe,Education,2020/21,6.8
44,ABE,Zimbabwe,Gokwe,Education,2021/22,0.0
45,ABE,Zimbabwe,Gokwe,Education,2022/23,0.0
46,ABE,Zimbabwe,Zimbabwe,Effluent,Baseline,2.0
47,ABE,Zimbabwe,Zimbabwe,Effluent,2015/16,3.0
48,ABE,Zimbabwe,Zimbabwe,Effluent,2016/17,3.0
49,ABE,Zimbabwe,Zimbabwe,Effluent,2017/18,4.0
50,ABE,Zimbabwe,Zimbabwe,Effluent,2018/19,6.6
51,ABE,Zimbabwe,Zimbabwe,Effluent,2019/20,4.9
52,ABE,Zimbabwe,Zimbabwe,Effluent,2020/21,6.9
53,ABE,Zimbabwe,Zimbabwe,Effluent,2021/22,5.1
54,ABE,Zimbabwe,Zimbabwe,Effluent,2022/23,5.2
55,ABE,Zimbabwe,Birchenough,Effluent,Baseline,3.0
56,ABE,Zimbabwe,Birchenough,Effluent,2015/16,5.0
57,ABE,Zimbabwe,Birchenough,Effluent,2016/17,6.0
58,ABE,Zimbabwe,Birchenough,Effluent,2017/18,6.0
59,ABE,Zimbabwe,Birchenough,Effluent,2018/19,6.5
60,ABE,Zimbabwe,Birchenough,Effluent,2019/20,7.0
61,ABE,Zimbabwe,Birchenough,Effluent,2020/21,7.0
62,ABE,Zimbabwe,Birchenough,Effluent,2021/22,7.0
63,ABE,Zimbabwe,Birchenough,Effluent,2022/23,7.3
64,ABE,Zimbabwe,Zaka,Effluent,Baseline,3.0
65,ABE,Zimbabwe,Zaka,Effluent,2015/16,4.0
66,ABE,Zimbabwe,Zaka,Effluent,2016/17,0.0
67,ABE,Zimbabwe,Zaka,Effluent,2017/18,4.0
68,ABE,Zimbabwe,Zaka,Effluent,2018/19,5.5
69,ABE,Zimbabwe,Zaka,Effluent,2019/20,5.5
70,ABE,Zimbabwe,Zaka,Effluent,2020/21,6.0
71,ABE,Zimbabwe,Zaka,Effluent,2021/22,6.0
72,ABE,Zimbabwe,Zaka,Effluent,2022/23,6.3
73,ABE,Zimbabwe,Ruware,Effluent,Baseline,2.0
74,ABE,Zimbabwe,Ruware,Effluent,2015/16,3.0
75,ABE,Zimbabwe,Ruware,Effluent,2016/17,6.0
76,ABE,Zimbabwe,Ruware,Effluent,2017/18,6.0
77,ABE,Zimbabwe,Ruware,Effluent,2018/19,6.5
78,ABE,Zimbabwe,Ruware,Effluent,2019/20,7.0
79,ABE,Zimbabwe,Ruware,Effluent,2020/21,7.0
80,ABE,Zimbabwe,Ruware,Effluent,2021/22,7.2
81,ABE,Zimbabwe,Ruware,Effluent,2022/23,7.2
82,ABE,Zimbabwe,Gokwe,Effluent,Baseline,0.0
83,ABE,Zimbabwe,Gokwe,Effluent,2015/16,0.0
84,ABE,Zimbabwe,Gokwe,Effluent,2016/17,0.0
85,ABE,Zimbabwe,Gokwe,Effluent,2017/18,0.0
86,ABE,Zimbabwe,Gokwe,Effluent,2018/19,7.8
87,ABE,Zimbabwe,Gokwe,Effluent,2019/20,0.0
88,ABE,Zimbabwe,Gokwe,Effluent,2020/21,7.8
89,ABE,Zimbabwe,Gokwe,Effluent,2021/22,0.0
90,ABE,Zimbabwe,Gokwe,Effluent,2022/23,0.0
91,ABE,Zimbabwe,Zimbabwe,Energy,Baseline,1.8
92,ABE,Zimbabwe,Zimbabwe,Energy,2015/16,4.8
93,ABE,Zimbabwe,Zimbabwe,Energy,2016/17,3.5
94,ABE,Zimbabwe,Zimbabwe,Energy,2017/18,5.4
95,ABE,Zimbabwe,Zimbabwe,Energy,2018/19,7.3
96,ABE,Zimbabwe,Zimbabwe,Energy,2019/20,5.8
97,ABE,Zimbabwe,Zimbabwe,Energy,2020/21,7.6
98,ABE,Zimbabwe,Zimbabwe,Energy,2021/22,5.8
99,ABE,Zimbabwe,Zimbabwe,Energy,2022/23,5.8
100,ABE,Zimbabwe,Birchenough,Energy,Baseline,3.0
101,ABE,Zimbabwe,Birchenough,Energy,2015/16,6.0
102,ABE,Zimbabwe,Birchenough,Energy,2016/17,7.0
103,ABE,Zimbabwe,Birchenough,Energy,2017/18,7.5
104,ABE,Zimbabwe,Birchenough,Energy,2018/19,7.8
105,ABE,Zimbabwe,Birchenough,Energy,2019/20,7.5
106,ABE,Zimbabwe,Birchenough,Energy,2020/21,7.5
107,ABE,Zimbabwe,Birchenough,Energy,2021/22,7.7
108,ABE,Zimbabwe,Birchenough,Energy,2022/23,7.7
109,ABE,Zimbabwe,Zaka,Energy,Baseline,1.0
110,ABE,Zimbabwe,Zaka,Energy,2015/16,7.0
111,ABE,Zimbabwe,Zaka,Energy,2016/17,0.0
112,ABE,Zimbabwe,Zaka,Energy,2017/18,7.0
113,ABE,Zimbabwe,Zaka,Energy,2018/19,7.0
114,ABE,Zimbabwe,Zaka,Energy,2019/20,7.5
115,ABE,Zimbabwe,Zaka,Energy,2020/21,7.5
116,ABE,Zimbabwe,Zaka,Energy,2021/22,7.7
117,ABE,Zimbabwe,Zaka,Energy,2022/23,7.7
118,ABE,Zimbabwe,Ruware,Energy,Baseline,3.0
119,ABE,Zimbabwe,Ruware,Energy,2015/16,6.0
120,ABE,Zimbabwe,Ruware,Energy,2016/17,7.0
121,ABE,Zimbabwe,Ruware,Energy,2017/18,7.0
122,ABE,Zimbabwe,Ruware,Energy,2018/19,7.0
123,ABE,Zimbabwe,Ruware,Energy,2019/20,8.0
124,ABE,Zimbabwe,Ruware,Energy,2020/21,8.0
125,ABE,Zimbabwe,Ruware,Energy,2021/22,7.7
126,ABE,Zimbabwe,Ruware,Energy,2022/23,7.7
127,ABE,Zimbabwe,Gokwe,Energy,Baseline,0.0
128,ABE,Zimbabwe,Gokwe,Energy,2015/16,0.0
129,ABE,Zimbabwe,Gokwe,Energy,2016/17,0.0
130,ABE,Zimbabwe,Gokwe,Energy,2017/18,0.0
131,ABE,Zimbabwe,Gokwe,Energy,2018/19,7.5
132,ABE,Zimbabwe,Gokwe,Energy,2019/20,0.0
133,ABE,Zimbabwe,Gokwe,Energy,2020/21,7.5
134,ABE,Zimbabwe,Gokwe,Energy,2021/22,0.0
135,ABE,Zimbabwe,Gokwe,Energy,2022/23,0.0
136,ABE,Zimbabwe,Zimbabwe,Food Security,Baseline,5.3
137,ABE,Zimbabwe,Zimbabwe,Food Security,2015/16,6.8
138,ABE,Zimbabwe,Zimbabwe,Food Security,2016/17,6.8
139,ABE,Zimbabwe,Zimbabwe,Food Security,2017/18,6.8
140,ABE,Zimbabwe,Zimbabwe,Food Security,2018/19,8.9
141,ABE,Zimbabwe,Zimbabwe,Food Security,2019/20,5.5
142,ABE,Zimbabwe,Zimbabwe,Food Security,2020/21,6.8
143,ABE,Zimbabwe,Zimbabwe,Food Security,2021/22,5.3
144,ABE,Zimbabwe,Zimbabwe,Food Security,2022/23,5.4
145,ABE,Zimbabwe,Birchenough,Food Security,Baseline,7.0
146,ABE,Zimbabwe,Birchenough,Food Security,2015/16,9.0
147,ABE,Zimbabwe,Birchenough,Food Security,2016/17,9.0
148,ABE,Zimbabwe,Birchenough,Food Security,2017/18,9.0
149,ABE,Zimbabwe,Birchenough,Food Security,2018/19,9.0
150,ABE,Zimbabwe,Birchenough,Food Security,2019/20,7.0
151,ABE,Zimbabwe,Birchenough,Food Security,2020/21,6.5
152,ABE,Zimbabwe,Birchenough,Food Security,2021/22,6.5
153,ABE,Zimbabwe,Birchenough,Food Security,2022/23,6.8
154,ABE,Zimbabwe,Zaka,Food Security,Baseline,7.0
155,ABE,Zimbabwe,Zaka,Food Security,2015/16,9.0
156,ABE,Zimbabwe,Zaka,Food Security,2016/17,9.0
157,ABE,Zimbabwe,Zaka,Food Security,2017/18,9.0
158,ABE,Zimbabwe,Zaka,Food Security,2018/19,9.0
159,ABE,Zimbabwe,Zaka,Food Security,2019/20,8.0
160,ABE,Zimbabwe,Zaka,Food Security,2020/21,7.5
161,ABE,Zimbabwe,Zaka,Food Security,2021/22,7.7
162,ABE,Zimbabwe,Zaka,Food Security,2022/23,7.7
163,ABE,Zimbabwe,Ruware,Food Security,Baseline,7.0
164,ABE,Zimbabwe,Ruware,Food Security,2015/16,9.0
165,ABE,Zimbabwe,Ruware,Food Security,2016/17,9.0
166,ABE,Zimbabwe,Ruware,Food Security,2017/18,9.0
167,ABE,Zimbabwe,Ruware,Food Security,2018/19,9.0
168,ABE,Zimbabwe,Ruware,Food Security,2019/20,7.0
169,ABE,Zimbabwe,Ruware,Food Security,2020/21,5.0
170,ABE,Zimbabwe,Ruware,Food Security,2021/22,7.0
171,ABE,Zimbabwe,Ruware,Food Security,2022/23,7.0
172,ABE,Zimbabwe,Gokwe,Food Security,Baseline,0.0
173,ABE,Zimbabwe,Gokwe,Food Security,2015/16,0.0
174,ABE,Zimbabwe,Gokwe,Food Security,2016/17,0.0
175,ABE,Zimbabwe,Gokwe,Food Security,2017/18,0.0
176,ABE,Zimbabwe,Gokwe,Food Security,2018/19,8.5
177,ABE,Zimbabwe,Gokwe,Food Security,2019/20,0.0
178,ABE,Zimbabwe,Gokwe,Food Security,2020/21,8.0
179,ABE,Zimbabwe,Gokwe,Food Security,2021/22,0.0
180,ABE,Zimbabwe,Gokwe,Food Security,2022/23,0.0
181,ABE,Zimbabwe,Zimbabwe,Healthcare,Baseline,3.5
182,ABE,Zimbabwe,Zimbabwe,Healthcare,2015/16,4.0
183,ABE,Zimbabwe,Zimbabwe,Healthcare,2016/17,3.0
184,ABE,Zimbabwe,Zimbabwe,Healthcare,2017/18,4.6
185,ABE,Zimbabwe,Zimbabwe,Healthcare,2018/19,6.4
186,ABE,Zimbabwe,Zimbabwe,Healthcare,2019/20,4.9
187,ABE,Zimbabwe,Zimbabwe,Healthcare,2020/21,6.4
188,ABE,Zimbabwe,Zimbabwe,Healthcare,2021/22,5.0
189,ABE,Zimbabwe,Zimbabwe,Healthcare,2022/23,5.0
190,ABE,Zimbabwe,Birchenough,Healthcare,Baseline,4.0
191,ABE,Zimbabwe,Birchenough,Healthcare,2015/16,4.0
192,ABE,Zimbabwe,Birchenough,Healthcare,2016/17,6.0
193,ABE,Zimbabwe,Birchenough,Healthcare,2017/18,6.5
194,ABE,Zimbabwe,Birchenough,Healthcare,2018/19,7.0
195,ABE,Zimbabwe,Birchenough,Healthcare,2019/20,7.0
196,ABE,Zimbabwe,Birchenough,Healthcare,2020/21,7.0
197,ABE,Zimbabwe,Birchenough,Healthcare,2021/22,7.3
198,ABE,Zimbabwe,Birchenough,Healthcare,2022/23,7.3
199,ABE,Zimbabwe,Zaka,Healthcare,Baseline,5.0
200,ABE,Zimbabwe,Zaka,Healthcare,2015/16,6.0
201,ABE,Zimbabwe,Zaka,Healthcare,2016/17,0.0
202,ABE,Zimbabwe,Zaka,Healthcare,2017/18,6.0
203,ABE,Zimbabwe,Zaka,Healthcare,2018/19,6.0
204,ABE,Zimbabwe,Zaka,Healthcare,2019/20,6.0
205,ABE,Zimbabwe,Zaka,Healthcare,2020/21,6.0
206,ABE,Zimbabwe,Zaka,Healthcare,2021/22,6.0
207,ABE,Zimbabwe,Zaka,Healthcare,2022/23,6.3
208,ABE,Zimbabwe,Ruware,Healthcare,Baseline,5.0
209,ABE,Zimbabwe,Ruware,Healthcare,2015/16,6.0
210,ABE,Zimbabwe,Ruware,Healthcare,2016/17,6.0
211,ABE,Zimbabwe,Ruware,Healthcare,2017/18,6.0
212,ABE,Zimbabwe,Ruware,Healthcare,2018/19,6.5
213,ABE,Zimbabwe,Ruware,Healthcare,2019/20,6.5
214,ABE,Zimbabwe,Ruware,Healthcare,2020/21,6.5
215,ABE,Zimbabwe,Ruware,Healthcare,2021/22,6.5
216,ABE,Zimbabwe,Ruware,Healthcare,2022/23,6.5
217,ABE,Zimbabwe,Gokwe,Healthcare,Baseline,0.0
218,ABE,Zimbabwe,Gokwe,Healthcare,2015/16,0.0
219,ABE,Zimbabwe,Gokwe,Healthcare,2016/17,0.0
220,ABE,Zimbabwe,Gokwe,Healthcare,2017/18,0.0
221,ABE,Zimbabwe,Gokwe,Healthcare,2018/19,6.0
222,ABE,Zimbabwe,Gokwe,Healthcare,2019/20,0.0
223,ABE,Zimbabwe,Gokwe,Healthcare,2020/21,6.0
224,ABE,Zimbabwe,Gokwe,Healthcare,2021/22,0.0
225,ABE,Zimbabwe,Gokwe,Healthcare,2022/23,0.0
226,ABE,Zimbabwe,Zimbabwe,Housing,Baseline,5.3
227,ABE,Zimbabwe,Zimbabwe,Housing,2015/16,5.0
228,ABE,Zimbabwe,Zimbabwe,Housing,2016/17,5.3
229,ABE,Zimbabwe,Zimbabwe,Housing,2017/18,5.3
230,ABE,Zimbabwe,Zimbabwe,Housing,2018/19,7.0
231,ABE,Zimbabwe,Zimbabwe,Housing,2019/20,5.8
232,ABE,Zimbabwe,Zimbabwe,Housing,2020/21,5.8
233,ABE,Zimbabwe,Zimbabwe,Housing,2021/22,5.9
234,ABE,Zimbabwe,Zimbabwe,Housing,2022/23,5.9
235,ABE,Zimbabwe,Birchenough,Housing,Baseline,6.0
236,ABE,Zimbabwe,Birchenough,Housing,2015/16,8.0
237,ABE,Zimbabwe,Birchenough,Housing,2016/17,8.0
238,ABE,Zimbabwe,Birchenough,Housing,2017/18,8.0
239,ABE,Zimbabwe,Birchenough,Housing,2018/19,8.0
240,ABE,Zimbabwe,Birchenough,Housing,2019/20,8.5
241,ABE,Zimbabwe,Birchenough,Housing,2020/21,8.5
242,ABE,Zimbabwe,Birchenough,Housing,2021/22,8.7
243,ABE,Zimbabwe,Birchenough,Housing,2022/23,8.7
244,ABE,Zimbabwe,Zaka,Housing,Baseline,4.0
245,ABE,Zimbabwe,Zaka,Housing,2015/16,6.0
246,ABE,Zimbabwe,Zaka,Housing,2016/17,0.0
247,ABE,Zimbabwe,Zaka,Housing,2017/18,6.5
248,ABE,Zimbabwe,Zaka,Housing,2018/19,6.5
249,ABE,Zimbabwe,Zaka,Housing,2019/20,7.5
250,ABE,Zimbabwe,Zaka,Housing,2020/21,7.5
251,ABE,Zimbabwe,Zaka,Housing,2021/22,7.5
252,ABE,Zimbabwe,Zaka,Housing,2022/23,7.5
253,ABE,Zimbabwe,Ruware,Housing,Baseline,5.0
254,ABE,Zimbabwe,Ruware,Housing,2015/16,6.0
255,ABE,Zimbabwe,Ruware,Housing,2016/17,6.0
256,ABE,Zimbabwe,Ruware,Housing,2017/18,6.5
257,ABE,Zimbabwe,Ruware,Housing,2018/19,6.5
258,ABE,Zimbabwe,Ruware,Housing,2019/20,7.0
259,ABE,Zimbabwe,Ruware,Housing,2020/21,0.0
260,ABE,Zimbabwe,Ruware,Housing,2021/22,7.3
261,ABE,Zimbabwe,Ruware,Housing,2022/23,7.3
262,ABE,Zimbabwe,Gokwe,Housing,Baseline,6.0
263,ABE,Zimbabwe,Gokwe,Housing,2015/16,0.0
264,ABE,Zimbabwe,Gokwe,Housing,2016/17,7.0
265,ABE,Zimbabwe,Gokwe,Housing,2017/18,0.0
266,ABE,Zimbabwe,Gokwe,Housing,2018/19,7.0
267,ABE,Zimbabwe,Gokwe,Housing,2019/20,0.0
268,ABE,Zimbabwe,Gokwe,Housing,2020/21,7.0
269,ABE,Zimbabwe,Gokwe,Housing,2021/22,0.0
270,ABE,Zimbabwe,Gokwe,Housing,2022/23,0.0
271,ABE,Zimbabwe,Zimbabwe,Water,Baseline,3.5
272,ABE,Zimbabwe,Zimbabwe,Water,2015/16,3.8
273,ABE,Zimbabwe,Zimbabwe,Water,2016/17,4.5
274,ABE,Zimbabwe,Zimbabwe,Water,2017/18,4.1
275,ABE,Zimbabwe,Zimbabwe,Water,2018/19,5.9
276,ABE,Zimbabwe,Zimbabwe,Water,2019/20,5.3
277,ABE,Zimbabwe,Zimbabwe,Water,2020/21,5.4
278,ABE,Zimbabwe,Zimbabwe,Water,2021/22,4.0
279,ABE,Zimbabwe,Zimbabwe,Water,2022/23,4.1
280,ABE,Zimbabwe,Birchenough,Water,Baseline,5.0
281,ABE,Zimbabwe,Birchenough,Water,2015/16,6.0
282,ABE,Zimbabwe,Birchenough,Water,2016/17,7.0
283,ABE,Zimbabwe,Birchenough,Water,2017/18,7.0
284,ABE,Zimbabwe,Birchenough,Water,2018/19,7.0
285,ABE,Zimbabwe,Birchenough,Water,2019/20,7.0
286,ABE,Zimbabwe,Birchenough,Water,2020/21,7.0
287,ABE,Zimbabwe,Birchenough,Water,2021/22,7.0
288,ABE,Zimbabwe,Birchenough,Water,2022/23,7.5
289,ABE,Zimbabwe,Zaka,Water,Baseline,5.0
290,ABE,Zimbabwe,Zaka,Water,2015/16,5.0
291,ABE,Zimbabwe,Zaka,Water,2016/17,0.0
292,ABE,Zimbabwe,Zaka,Water,2017/18,5.0
293,ABE,Zimbabwe,Zaka,Water,2018/19,5.0
294,ABE,Zimbabwe,Zaka,Water,2019/20,4.5
295,ABE,Zimbabwe,Zaka,Water,2020/21,4.5
296,ABE,Zimbabwe,Zaka,Water,2021/22,4.5
297,ABE,Zimbabwe,Zaka,Water,2022/23,4.5
298,ABE,Zimbabwe,Ruware,Water,Baseline,4.0
299,ABE,Zimbabwe,Ruware,Water,2015/16,4.0
300,ABE,Zimbabwe,Ruware,Water,2016/17,4.0
301,ABE,Zimbabwe,Ruware,Water,2017/18,4.5
302,ABE,Zimbabwe,Ruware,Water,2018/19,4.5
303,ABE,Zimbabwe,Ruware,Water,2019/20,4.5
304,ABE,Zimbabwe,Ruware,Water,2020/21,4.5
305,ABE,Zimbabwe,Ruware,Water,2021/22,4.5
306,ABE,Zimbabwe,Ruware,Water,2022/23,4.5
307,ABE,Zimbabwe,Gokwe,Water,Baseline,0.0
308,ABE,Zimbabwe,Gokwe,Water,2015/16,0.0
309,ABE,Zimbabwe,Gokwe,Water,2016/17,7.0
310,ABE,Zimbabwe,Gokwe,Water,2017/18,0.0
311,ABE,Zimbabwe,Gokwe,Water,2018/19,7.0
312,ABE,Zimbabwe,Gokwe,Water,2019/20,5.0
313,ABE,Zimbabwe,Gokwe,Water,2020/21,5.5
314,ABE,Zimbabwe,Gokwe,Water,2021/22,0.0
315,ABE,Zimbabwe,Gokwe,Water,2022/23,0.0
316,ABE,Malawi,Malawi,Education,Baseline,5.0
317,ABE,Malawi,Malawi,Education,2020/21,6.5
318,ABE,Malawi,Malawi,Education,2021/22,7.0
319,ABE,Malawi,Malawi,Education,2022/23,7.3
320,ABE,Malawi,Chikwawa,Education,Baseline,5.0
321,ABE,Malawi,Chikwawa,Education,2020/21,6.5
322,ABE,Malawi,Chikwawa,Education,2021/22,7.0
323,ABE,Malawi,Chikwawa,Education,2022/23,7.3
324,ABE,Malawi,Katowo,Education,Baseline,5.0
325,ABE,Malawi,Katowo,Education,2020/21,6.5
326,ABE,Malawi,Katowo,Education,2021/22,7.0
327,ABE,Malawi,Katowo,Education,2022/23,7.3
328,ABE,Malawi,Malawi,Effluent,Baseline,6.0
329,ABE,Malawi,Malawi,Effluent,2020/21,6.0
330,ABE,Malawi,Malawi,Effluent,2021/22,6.2
331,ABE,Malawi,Malawi,Effluent,2022/23,6.4
332,ABE,Malawi,Chikwawa,Effluent,Baseline,6.0
333,ABE,Malawi,Chikwawa,Effluent,2020/21,6.0
334,ABE,Malawi,Chikwawa,Effluent,2021/22,6.0
335,ABE,Malawi,Chikwawa,Effluent,2022/23,6.3
336,ABE,Malawi,Katowo,Effluent,Baseline,6.0
337,ABE,Malawi,Katowo,Effluent,2020/21,6.0
338,ABE,Malawi,Katowo,Effluent,2021/22,6.3
339,ABE,Malawi,Katowo,Effluent,2022/23,6.5
340,ABE,Malawi,Malawi,Energy,Baseline,5.0
341,ABE,Malawi,Malawi,Energy,2020/21,6.5
342,ABE,Malawi,Malawi,Energy,2021/22,6.9
343,ABE,Malawi,Malawi,Energy,2022/23,7.1
344,ABE,Malawi,Chikwawa,Energy,Baseline,5.0
345,ABE,Malawi,Chikwawa,Energy,2020/21,6.5
346,ABE,Malawi,Chikwawa,Energy,2021/22,6.7
347,ABE,Malawi,Chikwawa,Energy,2022/23,7.0
348,ABE,Malawi,Katowo,Energy,Baseline,5.0
349,ABE,Malawi,Katowo,Energy,2020/21,6.5
350,ABE,Malawi,Katowo,Energy,2021/22,7.0
351,ABE,Malawi,Katowo,Energy,2022/23,7.3
352,ABE,Malawi,Malawi,Food Security,Baseline,5.0
353,ABE,Malawi,Malawi,Food Security,2020/21,7.3
354,ABE,Malawi,Malawi,Food Security,2021/22,7.3
355,ABE,Malawi,Malawi,Food Security,2022/23,7.3
356,ABE,Malawi,Chikwawa,Food Security,Baseline,5.0
357,ABE,Malawi,Chikwawa,Food Security,2020/21,7.0
358,ABE,Malawi,Chikwawa,Food Security,2021/22,7.0
359,ABE,Malawi,Chikwawa,Food Security,2022/23,7.0
360,ABE,Malawi,Katowo,Food Security,Baseline,5.0
361,ABE,Malawi,Katowo,Food Security,2020/21,7.5
362,ABE,Malawi,Katowo,Food Security,2021/22,7.5
363,ABE,Malawi,Katowo,Food Security,2022/23,7.5
364,ABE,Malawi,Malawi,Healthcare,Baseline,5.0
365,ABE,Malawi,Malawi,Healthcare,2020/21,6.0
366,ABE,Malawi,Malawi,Healthcare,2021/22,6.6
367,ABE,Malawi,Malawi,Healthcare,2022/23,6.9
368,ABE,Malawi,Chikwawa,Healthcare,Baseline,5.0
369,ABE,Malawi,Chikwawa,Healthcare,2020/21,6.0
370,ABE,Malawi,Chikwawa,Healthcare,2021/22,6.7
371,ABE,Malawi,Chikwawa,Healthcare,2022/23,7.0
372,ABE,Malawi,Katowo,Healthcare,Baseline,5.0
373,ABE,Malawi,Katowo,Healthcare,2020/21,6.0
374,ABE,Malawi,Katowo,Healthcare,2021/22,6.5
375,ABE,Malawi,Katowo,Healthcare,2022/23,6.8
376,ABE,Malawi,Malawi,Housing,Baseline,5.0
377,ABE,Malawi,Malawi,Housing,2020/21,6.0
378,ABE,Malawi,Malawi,Housing,2021/22,6.5
379,ABE,Malawi,Malawi,Housing,2022/23,6.8
380,ABE,Malawi,Chikwawa,Housing,Baseline,5.0
381,ABE,Malawi,Chikwawa,Housing,2020/21,5.5
382,ABE,Malawi,Chikwawa,Housing,2021/22,6.0
383,ABE,Malawi,Chikwawa,Housing,2022/23,6.3
384,ABE,Malawi,Katowo,Housing,Baseline,5.0
385,ABE,Malawi,Katowo,Housing,2020/21,6.5
386,ABE,Malawi,Katowo,Housing,2021/22,7.0
387,ABE,Malawi,Katowo,Housing,2022/23,7.3
388,ABE,Malawi,Malawi,Water,Baseline,4.0
389,ABE,Malawi,Malawi,Water,2020/21,4.5
390,ABE,Malawi,Malawi,Water,2021/22,4.7
391,ABE,Malawi,Malawi,Water,2022/23,4.8
392,ABE,Malawi,Chikwawa,Water,Baseline,4.0
393,ABE,Malawi,Chikwawa,Water,2020/21,4.0
394,ABE,Malawi,Chikwawa,Water,2021/22,4.0
395,ABE,Malawi,Chikwawa,Water,2022/23,4.0
396,ABE,Malawi,Katowo,Water,Baseline,4.0
397,ABE,Malawi,Katowo,Water,2020/21,5.0
398,ABE,Malawi,Katowo,Water,2021/22,5.3
399,ABE,Malawi,Katowo,Water,2022/23,5.5
