crop,country,community,year,table,indicator,orig_value,tag,value
ABE,Mozambique,Small scale commercial farmers,2022/23,background_key_metrics,Average Price Per Kg,1.0,[per kg fresh],$1.01 [per kg fresh]
ABE,Mozambique,Subsistence farmers,2022/23,background_key_metrics,Average Price Per Kg,1.0,[per kg fresh],$1.01 [per kg fresh]
ABE,Mozambique,Organisation farmers,2022/23,background_key_metrics,Average Price Per Kg,1.0,[per kg fresh],$1.01 [per kg fresh]
ABE,Zimbabwe,Zimbabwe,2022/23,background_key_metrics,Average Gross Income,881.14,,$881.14 
ABE,Zimbabwe,Birchenough,2022/23,background_key_metrics,Average Gross Income,1065.30,,"$1,065.30 "
ABE,Zimbabwe,Zaka,2022/23,background_key_metrics,Average Gross Income,727.04,,$727.04 
ABE,Zimbabwe,Ruware,2022/23,background_key_metrics,Average Gross Income,698.72,,$698.72 
ABE,Malawi,Malawi,2022/23,background_key_metrics,Average Gross Income,316.43,,$316.43 
ABE,Malawi,Chikwawa,2022/23,background_key_metrics,Average Gross Income,299.27,,$299.27 
ABE,Malawi,Katowo,2022/23,background_key_metrics,Average Gross Income,357.37,,$357.37 
ABE,Mozambique,Mozambique,2022/23,background_key_metrics,Average Gross Income,3060.98,,"$3,060.98 "
ABE,Mozambique,Small scale commercial farmers,2022/23,background_key_metrics,Average Gross Income,4436.20,,"$4,436.20 "
ABE,Mozambique,Subsistence farmers,2022/23,background_key_metrics,Average Gross Income,1748.31,,"$1,748.31 "
ABE,Mozambique,Organisation farmers,2022/23,background_key_metrics,Average Gross Income,6059.89,,"$6,059.89 "
ABE,Zimbabwe,Zimbabwe,2022/23,background_key_metrics,Average True Earnings,379.51,,$379.51 
ABE,Zimbabwe,Birchenough,2022/23,background_key_metrics,Average True Earnings,430.61,,$430.61 
ABE,Zimbabwe,Zaka,2022/23,background_key_metrics,Average True Earnings,340.84,,$340.84 
ABE,Zimbabwe,Ruware,2022/23,background_key_metrics,Average True Earnings,322.77,,$322.77 
ABE,Malawi,Malawi,2022/23,background_key_metrics,Average True Earnings,31.34,,$31.34 
ABE,Malawi,Chikwawa,2022/23,background_key_metrics,Average True Earnings,20.64,,$20.64 
ABE,Malawi,Katowo,2022/23,background_key_metrics,Average True Earnings,56.88,,$56.88 
ABE,Zimbabwe,Zimbabwe,2022/23,farmers_key_metrics,Average Age of Farmers,47,y/o,47 y/o
ABE,Zimbabwe,Birchenough,2022/23,farmers_key_metrics,Average Age of Farmers,49,y/o,49 y/o
ABE,Zimbabwe,Zaka,2022/23,farmers_key_metrics,Average Age of Farmers,48,y/o,48 y/o
ABE,Zimbabwe,Ruware,2022/23,farmers_key_metrics,Average Age of Farmers,41,y/o,41 y/o
ABE,Malawi,Malawi,2022/23,farmers_key_metrics,Average Age of Farmers,46,y/o,46 y/o
ABE,Malawi,Chikwawa,2022/23,farmers_key_metrics,Average Age of Farmers,46,y/o,46 y/o
ABE,Malawi,Katowo,2022/23,farmers_key_metrics,Average Age of Farmers,47,y/o,47 y/o
ABE,Zimbabwe,Zimbabwe,2022/23,farmers_key_metrics,Total Farmers,560,farmers,560 farmers
ABE,Zimbabwe,Birchenough,2022/23,farmers_key_metrics,Total Farmers,265,farmers,265 farmers
ABE,Zimbabwe,Zaka,2022/23,farmers_key_metrics,Total Farmers,177,farmers,177 farmers
ABE,Zimbabwe,Ruware,2022/23,farmers_key_metrics,Total Farmers,118,farmers,118 farmers
ABE,Malawi,Malawi,2022/23,farmers_key_metrics,Total Farmers,281,farmers,281 farmers
ABE,Malawi,Chikwawa,2022/23,farmers_key_metrics,Total Farmers,198,farmers,198 farmers
ABE,Malawi,Katowo,2022/23,farmers_key_metrics,Total Farmers,83,farmers,83 farmers
ABE,Mozambique,Mozambique,2022/23,farmers_key_metrics,Total Farmers,77,farmers,77 farmers
ABE,Mozambique,Small scale commercial farmers,2022/23,farmers_key_metrics,Total Farmers,36,farmers,36 farmers
ABE,Mozambique,Subsistence farmers,2022/23,farmers_key_metrics,Total Farmers,40,farmers,40 farmers
ABE,Mozambique,Organisation farmers,2022/23,farmers_key_metrics,Total Farmers,1,farmers,1 farmers
ABE,Zimbabwe,Zimbabwe,2022/23,production_farming_metrics,Percentage Land Used For Crop,35,%,35%
ABE,Zimbabwe,Birchenough,2022/23,production_farming_metrics,Percentage Land Used For Crop,37,%,37%
ABE,Zimbabwe,Zaka,2022/23,production_farming_metrics,Percentage Land Used For Crop,47,%,47%
ABE,Zimbabwe,Ruware,2022/23,production_farming_metrics,Percentage Land Used For Crop,19,%,19%
ABE,Malawi,Malawi,2022/23,production_farming_metrics,Percentage Land Used For Crop,18,%,18%
ABE,Malawi,Chikwawa,2022/23,production_farming_metrics,Percentage Land Used For Crop,20,%,20%
ABE,Malawi,Katowo,2022/23,production_farming_metrics,Percentage Land Used For Crop,16,%,16%
ABE,Zimbabwe,Zimbabwe,2022/23,production_farming_metrics,Average Area of Farmland Irrigated,1.4,ha,1.4ha
ABE,Zimbabwe,Birchenough,2022/23,production_farming_metrics,Average Area of Farmland Irrigated,1.2,ha,1.2ha
ABE,Zimbabwe,Zaka,2022/23,production_farming_metrics,Average Area of Farmland Irrigated,0.9,ha,0.9ha
ABE,Zimbabwe,Ruware,2022/23,production_farming_metrics,Average Area of Farmland Irrigated,2.2,ha,2.2ha
ABE,Malawi,Malawi,2022/23,production_farming_metrics,Average Area of Farmland Irrigated,3.3,ha,3.3ha
ABE,Malawi,Chikwawa,2022/23,production_farming_metrics,Average Area of Farmland Irrigated,0.8,ha,0.8ha
ABE,Malawi,Katowo,2022/23,production_farming_metrics,Average Area of Farmland Irrigated,3.8,ha,3.8ha
ABE,Zimbabwe,Zimbabwe,2022/23,production_farming_metrics,Average Plot Size,0.2,ha,0.2ha
ABE,Zimbabwe,Birchenough,2022/23,production_farming_metrics,Average Plot Size,0.2,ha,0.2ha
ABE,Zimbabwe,Zaka,2022/23,production_farming_metrics,Average Plot Size,0.2,ha,0.2ha
ABE,Zimbabwe,Ruware,2022/23,production_farming_metrics,Average Plot Size,0.2,ha,0.2ha
ABE,Malawi,Malawi,2022/23,production_farming_metrics,Average Plot Size,0.2,ha,0.2ha
ABE,Malawi,Chikwawa,2022/23,production_farming_metrics,Average Plot Size,0.2,ha,0.2ha
ABE,Malawi,Katowo,2022/23,production_farming_metrics,Average Plot Size,0.2,ha,0.2ha
ABE,Mozambique,Mozambique,2022/23,production_farming_metrics,Average Plot Size,0.8,ha,0.8ha
ABE,Mozambique,Small scale commercial farmers,2022/23,production_farming_metrics,Average Plot Size,0.8,ha,0.8ha
ABE,Mozambique,Subsistence farmers,2022/23,production_farming_metrics,Average Plot Size,0.8,ha,0.8ha
ABE,Mozambique,Organisation farmers,2022/23,production_farming_metrics,Average Plot Size,1.0,ha,1.0ha
ABE,Zimbabwe,Zimbabwe,2022/23,production_farming_metrics,Average Harvest,1115.4,kg [fresh],"1,115.4kg [fresh]"
ABE,Zimbabwe,Birchenough,2022/23,production_farming_metrics,Average Harvest,1331.6,kg [fresh],"1,331.6kg [fresh]"
ABE,Zimbabwe,Zaka,2022/23,production_farming_metrics,Average Harvest,924.5,kg [fresh],924.5kg [fresh]
ABE,Zimbabwe,Ruware,2022/23,production_farming_metrics,Average Harvest,904.1,kg [fresh],904.1kg [fresh]
ABE,Malawi,Malawi,2022/23,production_farming_metrics,Average Harvest,432.1,kg [fresh],432.1kg [fresh]
ABE,Malawi,Chikwawa,2022/23,production_farming_metrics,Average Harvest,407.4,kg [fresh],407.4kg [fresh]
ABE,Malawi,Katowo,2022/23,production_farming_metrics,Average Harvest,491.1,kg [fresh],491.1kg [fresh]
ABE,Mozambique,Mozambique,2022/23,production_farming_metrics,Average Harvest,3038.5,kg [fresh],"3,038.5kg [fresh]"
ABE,Mozambique,Small scale commercial farmers,2022/23,production_farming_metrics,Average Harvest,4403.4,kg [fresh],"4,403.4kg [fresh]"
ABE,Mozambique,Subsistence farmers,2022/23,production_farming_metrics,Average Harvest,1735.6,kg [fresh],"1,735.6kg [fresh]"
ABE,Mozambique,Organisation farmers,2022/23,production_farming_metrics,Average Harvest,6015.0,kg [fresh],"6,015.0kg [fresh]"
ABE,Zimbabwe,Zimbabwe,2022/23,production_farming_metrics,Average Productivity,1604.7,kg [per 0.25 ha],"1,604.7kg [per 0.25 ha]"
ABE,Zimbabwe,Birchenough,2022/23,production_farming_metrics,Average Productivity,1995.9,kg [per 0.25 ha],"1,995.9kg [per 0.25 ha]"
ABE,Zimbabwe,Zaka,2022/23,production_farming_metrics,Average Productivity,1295.5,kg [per 0.25 ha],"1,295.5kg [per 0.25 ha]"
ABE,Zimbabwe,Ruware,2022/23,production_farming_metrics,Average Productivity,1189.9,kg [per 0.25 ha],"1,189.9kg [per 0.25 ha]"
ABE,Malawi,Malawi,2022/23,production_farming_metrics,Average Productivity,490.1,kg [per 0.25 ha],490.1kg [per 0.25 ha]
ABE,Malawi,Chikwawa,2022/23,production_farming_metrics,Average Productivity,468.7,kg [per 0.25 ha],468.7kg [per 0.25 ha]
ABE,Malawi,Katowo,2022/23,production_farming_metrics,Average Productivity,541.0,kg [per 0.25 ha],541.0kg [per 0.25 ha]
ABE,Mozambique,Mozambique,2022/23,production_farming_metrics,Average Productivity,810.3,kg [per 0.25 ha],810.3kg [per 0.25 ha]
ABE,Mozambique,Small scale commercial farmers,2022/23,production_farming_metrics,Average Productivity,1188.0,kg [per 0.25 ha],"1,188.0kg [per 0.25 ha]"
ABE,Mozambique,Subsistence farmers,2022/23,production_farming_metrics,Average Productivity,453.0,kg [per 0.25 ha],453.0kg [per 0.25 ha]
ABE,Mozambique,Organisation farmers,2022/23,production_farming_metrics,Average Productivity,1503.8,kg [per 0.25 ha],"1,503.8kg [per 0.25 ha]"
ABE,Zimbabwe,Zimbabwe,2022/23,production_costs_metrics,Average Inputs (Loan),230.70,,$230.70 
ABE,Zimbabwe,Birchenough,2022/23,production_costs_metrics,Average Inputs (Loan),215.37,,$215.37 
ABE,Zimbabwe,Zaka,2022/23,production_costs_metrics,Average Inputs (Loan),253.29,,$253.29 
ABE,Zimbabwe,Ruware,2022/23,production_costs_metrics,Average Inputs (Loan),231.24,,$231.24 
ABE,Malawi,Malawi,2022/23,production_costs_metrics,Average Inputs (Loan),212.12,,$212.12 
ABE,Malawi,Chikwawa,2022/23,production_costs_metrics,Average Inputs (Loan),207.92,,$207.92 
ABE,Malawi,Katowo,2022/23,production_costs_metrics,Average Inputs (Loan),222.14,,$222.14 
ABE,Zimbabwe,Zimbabwe,2022/23,production_costs_metrics,Average Labour Costs,181.31,,$181.31 
ABE,Zimbabwe,Birchenough,2022/23,production_costs_metrics,Average Labour Costs,281.84,,$281.84 
ABE,Zimbabwe,Zaka,2022/23,production_costs_metrics,Average Labour Costs,88.10,,$88.10 
ABE,Zimbabwe,Ruware,2022/23,production_costs_metrics,Average Labour Costs,95.34,,$95.34 
ABE,Malawi,Malawi,2022/23,production_costs_metrics,Average Labour Costs,61.09,,$61.09 
ABE,Malawi,Chikwawa,2022/23,production_costs_metrics,Average Labour Costs,63.92,,$63.92 
ABE,Malawi,Katowo,2022/23,production_costs_metrics,Average Labour Costs,54.35,,$54.35 
ABE,Zimbabwe,Zimbabwe,2022/23,production_costs_metrics,Average Tool Costs,10.96,,$10.96 
ABE,Zimbabwe,Birchenough,2022/23,production_costs_metrics,Average Tool Costs,13.53,,$13.53 
ABE,Zimbabwe,Zaka,2022/23,production_costs_metrics,Average Tool Costs,8.81,,$8.81 
ABE,Zimbabwe,Ruware,2022/23,production_costs_metrics,Average Tool Costs,8.43,,$8.43 
ABE,Malawi,Malawi,2022/23,production_costs_metrics,Average Tool Costs,7.62,,$7.62 
ABE,Malawi,Chikwawa,2022/23,production_costs_metrics,Average Tool Costs,1.95,,$1.95 
ABE,Malawi,Katowo,2022/23,production_costs_metrics,Average Tool Costs,21.15,,$21.15 
ABE,Zimbabwe,Zimbabwe,2022/23,production_costs_metrics,Average Transportation Costs,27.43,,$27.43 
ABE,Zimbabwe,Birchenough,2022/23,production_costs_metrics,Average Transportation Costs,34.32,,$34.32 
ABE,Zimbabwe,Zaka,2022/23,production_costs_metrics,Average Transportation Costs,21.48,,$21.48 
ABE,Zimbabwe,Ruware,2022/23,production_costs_metrics,Average Transportation Costs,20.90,,$20.90 
ABE,Malawi,Malawi,2022/23,production_costs_metrics,Average Transportation Costs,0.57,,$0.57 
ABE,Malawi,Chikwawa,2022/23,production_costs_metrics,Average Transportation Costs,0.11,,$0.11 
ABE,Malawi,Katowo,2022/23,production_costs_metrics,Average Transportation Costs,1.67,,$1.67 
ABE,Zimbabwe,Zimbabwe,2022/23,production_costs_metrics,Average Water & Electricity Costs,15.86,,$15.86 
ABE,Zimbabwe,Birchenough,2022/23,production_costs_metrics,Average Water & Electricity Costs,14.89,,$14.89 
ABE,Zimbabwe,Zaka,2022/23,production_costs_metrics,Average Water & Electricity Costs,14.52,,$14.52 
ABE,Zimbabwe,Ruware,2022/23,production_costs_metrics,Average Water & Electricity Costs,20.05,,$20.05 
ABE,Malawi,Malawi,2022/23,production_costs_metrics,Average Water & Electricity Costs,2.32,,$2.32 
ABE,Malawi,Chikwawa,2022/23,production_costs_metrics,Average Water & Electricity Costs,3.25,,$3.25 
ABE,Malawi,Katowo,2022/23,production_costs_metrics,Average Water & Electricity Costs,0.10,,$0.10 
ABE,Zimbabwe,Zimbabwe,2022/23,production_costs_metrics,Average Other Costs,35.37,,$35.37 
ABE,Zimbabwe,Birchenough,2022/23,production_costs_metrics,Average Other Costs,74.74,,$74.74 
ABE,Zimbabwe,Zaka,2022/23,production_costs_metrics,Average Other Costs,0.00,,$0.00 
ABE,Zimbabwe,Ruware,2022/23,production_costs_metrics,Average Other Costs,0.00,,$0.00 
ABE,Malawi,Malawi,2022/23,production_costs_metrics,Average Other Costs,1.37,,$1.37 
ABE,Malawi,Chikwawa,2022/23,production_costs_metrics,Average Other Costs,1.49,,$1.49 
ABE,Malawi,Katowo,2022/23,production_costs_metrics,Average Other Costs,1.08,,$1.08 
ABE,Zimbabwe,Zimbabwe,2022/23,production_costs_metrics,Average Total Costs,501.63,,$501.63 
ABE,Zimbabwe,Birchenough,2022/23,production_costs_metrics,Average Total Costs,634.68,,$634.68 
ABE,Zimbabwe,Zaka,2022/23,production_costs_metrics,Average Total Costs,386.20,,$386.20 
ABE,Zimbabwe,Ruware,2022/23,production_costs_metrics,Average Total Costs,375.96,,$375.96 
ABE,Malawi,Malawi,2022/23,production_costs_metrics,Average Total Costs,285.09,,$285.09 
ABE,Malawi,Chikwawa,2022/23,production_costs_metrics,Average Total Costs,278.64,,$278.64 
ABE,Malawi,Katowo,2022/23,production_costs_metrics,Average Total Costs,300.48,,$300.48 
ABE,Zimbabwe,Zimbabwe,2022/23,production_income_metrics,Average Gross Income,881.14,,$881.14 
ABE,Zimbabwe,Birchenough,2022/23,production_income_metrics,Average Gross Income,1065.30,,"$1,065.30 "
ABE,Zimbabwe,Zaka,2022/23,production_income_metrics,Average Gross Income,727.04,,$727.04 
ABE,Zimbabwe,Ruware,2022/23,production_income_metrics,Average Gross Income,698.72,,$698.72 
ABE,Malawi,Malawi,2022/23,production_income_metrics,Average Gross Income,316.43,,$316.43 
ABE,Malawi,Chikwawa,2022/23,production_income_metrics,Average Gross Income,299.27,,$299.27 
ABE,Malawi,Katowo,2022/23,production_income_metrics,Average Gross Income,357.37,,$357.37 
ABE,Mozambique,Mozambique,2022/23,production_income_metrics,Average Gross Income,3060.98,,"$3,060.98 "
ABE,Mozambique,Small scale commercial farmers,2022/23,production_income_metrics,Average Gross Income,4436.20,,"$4,436.20 "
ABE,Mozambique,Subsistence farmers,2022/23,production_income_metrics,Average Gross Income,1748.31,,"$1,748.31 "
ABE,Mozambique,Organisation farmers,2022/23,production_income_metrics,Average Gross Income,6059.89,,"$6,059.89 "
ABE,Zimbabwe,Zimbabwe,2022/23,production_income_metrics,Average True Earnings,379.51,,$379.51 
ABE,Zimbabwe,Birchenough,2022/23,production_income_metrics,Average True Earnings,430.61,,$430.61 
ABE,Zimbabwe,Zaka,2022/23,production_income_metrics,Average True Earnings,340.84,,$340.84 
ABE,Zimbabwe,Ruware,2022/23,production_income_metrics,Average True Earnings,322.77,,$322.77 
ABE,Malawi,Malawi,2022/23,production_income_metrics,Average True Earnings,31.34,,$31.34 
ABE,Malawi,Chikwawa,2022/23,production_income_metrics,Average True Earnings,20.64,,$20.64 
ABE,Malawi,Katowo,2022/23,production_income_metrics,Average True Earnings,56.88,,$56.88 
